# frequency[Hz], mag, phase[deg]
1.00000e-02 1.00015e+00 -9.04629e-01 
1.99990e-02 1.04700e+00 -1.90882e+00 
2.99980e-02 1.13702e+00 -3.15205e+00 
3.99970e-02 1.29648e+00 -4.89091e+00 
4.99960e-02 1.59170e+00 -7.72767e+00 
5.99950e-02 2.23154e+00 -1.35743e+01 
6.99940e-02 4.19489e+00 -3.27299e+01 
7.99930e-02 5.46084e+00 -1.20779e+02 
8.99920e-02 1.98546e+00 -1.57402e+02 
9.99910e-02 1.02588e+00 -1.65539e+02 
1.09990e-01 6.17665e-01 -1.68610e+02 
1.19989e-01 3.91620e-01 -1.69742e+02 
1.29988e-01 2.45024e-01 -1.69397e+02 
1.39987e-01 1.38339e-01 -1.66437e+02 
1.49986e-01 5.42721e-02 -1.51061e+02 
1.59985e-01 4.03578e-02 -3.75771e+01 
1.69984e-01 1.17577e-01 -1.35783e+01 
1.79983e-01 2.16285e-01 -1.01156e+01 
1.89982e-01 3.59963e-01 -1.05370e+01 
1.99981e-01 6.27113e-01 -1.43587e+01 
2.09980e-01 1.38774e+00 -2.88369e+01 
2.19979e-01 2.77276e+00 -1.14719e+02 
2.29978e-01 1.07911e+00 -1.59672e+02 
2.39977e-01 6.27248e-01 -1.68252e+02 
2.49976e-01 4.39559e-01 -1.71586e+02 
2.59975e-01 3.36056e-01 -1.73334e+02 
2.69974e-01 2.69634e-01 -1.74402e+02 
2.79973e-01 2.22815e-01 -1.75117e+02 
2.89972e-01 1.87623e-01 -1.75624e+02 
2.99971e-01 1.59879e-01 -1.75994e+02 
3.09970e-01 1.37160e-01 -1.76264e+02 
3.19969e-01 1.17941e-01 -1.76453e+02 
3.29968e-01 1.01191e-01 -1.76566e+02 
3.39967e-01 8.61539e-02 -1.76592e+02 
3.49966e-01 7.22240e-02 -1.76501e+02 
3.59965e-01 5.88552e-02 -1.76212e+02 
3.69964e-01 4.54792e-02 -1.75516e+02 
3.79963e-01 3.14066e-02 -1.73712e+02 
3.89962e-01 1.57422e-02 -1.66635e+02 
3.99961e-01 6.06061e-03 -4.66228e+01 
4.09960e-01 3.15372e-02 -1.17994e+01 
4.19959e-01 7.49412e-02 -9.40311e+00 
4.29958e-01 1.68227e-01 -1.19928e+01 
4.39957e-01 5.51296e-01 -2.96391e+01 
4.49956e-01 6.49079e-01 -1.50991e+02 
4.59955e-01 2.72606e-01 -1.69412e+02 
4.69954e-01 1.80913e-01 -1.73369e+02 
4.79953e-01 1.39273e-01 -1.75021e+02 
4.89952e-01 1.14900e-01 -1.75910e+02 
4.99951e-01 9.85284e-02 -1.76458e+02 
5.09950e-01 8.65373e-02 -1.76824e+02 
5.19949e-01 7.72183e-02 -1.77083e+02 
5.29948e-01 6.96562e-02 -1.77272e+02 
5.39947e-01 6.33135e-02 -1.77411e+02 
5.49946e-01 5.78511e-02 -1.77513e+02 
5.59945e-01 5.30419e-02 -1.77583e+02 
5.69944e-01 4.87253e-02 -1.77625e+02 
5.79943e-01 4.47822e-02 -1.77640e+02 
5.89942e-01 4.11185e-02 -1.77624e+02 
5.99941e-01 3.76557e-02 -1.77571e+02 
6.09940e-01 3.43227e-02 -1.77471e+02 
6.19939e-01 3.10494e-02 -1.77303e+02 
6.29938e-01 2.77594e-02 -1.77030e+02 
6.39937e-01 2.43608e-02 -1.76581e+02 
6.49936e-01 2.07318e-02 -1.75801e+02 
6.59935e-01 1.66963e-02 -1.74291e+02 
6.69934e-01 1.19872e-02 -1.70710e+02 
6.79933e-01 6.28763e-03 -1.56949e+02 
6.89932e-01 4.41743e-03 -5.35682e+01 
6.99931e-01 1.72414e-02 -2.11653e+01 
7.09930e-01 4.56908e-02 -1.95912e+01 
7.19929e-01 1.45524e-01 -3.51621e+01 
7.29928e-01 2.38994e-01 -1.40128e+02 
7.39927e-01 1.04681e-01 -1.67254e+02 
7.49926e-01 7.07003e-02 -1.72518e+02 
7.59925e-01 5.54370e-02 -1.74436e+02 
7.69924e-01 4.64566e-02 -1.75251e+02 
7.79923e-01 4.02913e-02 -1.75517e+02 
7.89922e-01 3.55854e-02 -1.75379e+02 
7.99921e-01 3.16753e-02 -1.74791e+02 
8.09920e-01 2.81626e-02 -1.73475e+02 
8.19919e-01 2.47652e-02 -1.70584e+02 
8.29918e-01 2.14533e-02 -1.63327e+02 
8.39917e-01 2.07850e-02 -1.44112e+02 
8.49916e-01 3.49255e-02 -1.36366e+02 
8.59915e-01 3.89267e-02 -1.62404e+02 
8.69914e-01 3.24901e-02 -1.72597e+02 
8.79913e-01 2.80412e-02 -1.75590e+02 
8.89912e-01 2.49068e-02 -1.76459e+02 
8.99911e-01 2.24089e-02 -1.76397e+02 
9.09910e-01 2.02162e-02 -1.75618e+02 
9.19909e-01 1.81519e-02 -1.73888e+02 
