# seg	start	stop	duration
0	1211862656	1211866752	4096
1	1211874944	1211879040	4096
2	1211944576	1211948672	4096
3	1211952768	1211956864	4096
4	1211965056	1211969152	4096
5	1211969152	1211973248	4096
6	1211973248	1211977344	4096
7	1211977344	1211981440	4096
8	1211989632	1211993728	4096
9	1211993728	1211997824	4096
10	1212001920	1212006016	4096
11	1212022400	1212026496	4096
12	1212034688	1212038784	4096
13	1212038784	1212042880	4096
14	1212100224	1212104320	4096
15	1212108416	1212112512	4096
16	1212112512	1212116608	4096
17	1212120704	1212124800	4096
18	1212141184	1212145280	4096
19	1212145280	1212149376	4096
20	1212157568	1212161664	4096
21	1212165760	1212169856	4096
22	1212169856	1212173952	4096
23	1212178048	1212182144	4096
24	1212206720	1212210816	4096
25	1212210816	1212214912	4096
26	1212219008	1212223104	4096
27	1212223104	1212227200	4096
28	1212231296	1212235392	4096
29	1212239488	1212243584	4096
30	1212247680	1212251776	4096
31	1212251776	1212255872	4096
32	1212259968	1212264064	4096
33	1212264064	1212268160	4096
34	1212292736	1212296832	4096
35	1212296832	1212300928	4096
36	1212317312	1212321408	4096
37	1212325504	1212329600	4096
38	1212345984	1212350080	4096
39	1212370560	1212374656	4096
40	1212378752	1212382848	4096
41	1212382848	1212386944	4096
42	1212386944	1212391040	4096
43	1212391040	1212395136	4096
44	1212399232	1212403328	4096
45	1212407424	1212411520	4096
46	1212415616	1212419712	4096
47	1212423808	1212427904	4096
48	1212432000	1212436096	4096
49	1212440192	1212444288	4096
50	1212448384	1212452480	4096
51	1212456576	1212460672	4096
52	1212460672	1212464768	4096
53	1212472960	1212477056	4096
54	1212493440	1212497536	4096
55	1212518016	1212522112	4096
56	1212534400	1212538496	4096
57	1212558976	1212563072	4096
58	1212583552	1212587648	4096
59	1212780160	1212784256	4096
60	1212817024	1212821120	4096
61	1212878464	1212882560	4096
62	1212882560	1212886656	4096
63	1212903040	1212907136	4096
64	1212907136	1212911232	4096
65	1212935808	1212939904	4096
66	1213005440	1213009536	4096
67	1213017728	1213021824	4096
68	1213054592	1213058688	4096
69	1213148800	1213152896	4096
70	1213173376	1213177472	4096
71	1213226624	1213230720	4096
72	1213251200	1213255296	4096
73	1213324928	1213329024	4096
74	1213341312	1213345408	4096
75	1213369984	1213374080	4096
76	1213382272	1213386368	4096
77	1213386368	1213390464	4096
78	1213390464	1213394560	4096
79	1213394560	1213398656	4096
80	1213415040	1213419136	4096
81	1213419136	1213423232	4096
82	1213468288	1213472384	4096
83	1213595264	1213599360	4096
84	1213628032	1213632128	4096
85	1213632128	1213636224	4096
86	1213640320	1213644416	4096
87	1213648512	1213652608	4096
88	1213652608	1213656704	4096
89	1213664896	1213668992	4096
90	1213734528	1213738624	4096
91	1213746816	1213750912	4096
92	1213939328	1213943424	4096
93	1213943424	1213947520	4096
94	1213947520	1213951616	4096
95	1213968000	1213972096	4096
96	1214017152	1214021248	4096
97	1214025344	1214029440	4096
98	1214033536	1214037632	4096
99	1214041728	1214045824	4096
100	1214045824	1214049920	4096
101	1214054016	1214058112	4096
102	1214074496	1214078592	4096
103	1214209664	1214213760	4096
104	1214213760	1214217856	4096
105	1214275200	1214279296	4096
106	1214283392	1214287488	4096
107	1214328448	1214332544	4096
108	1214332544	1214336640	4096
109	1214340736	1214344832	4096
110	1214353024	1214357120	4096
111	1214361216	1214365312	4096
112	1214365312	1214369408	4096
113	1214373504	1214377600	4096
114	1214430848	1214434944	4096
115	1214439040	1214443136	4096
116	1214459520	1214463616	4096
117	1214480000	1214484096	4096
118	1214488192	1214492288	4096
119	1214500480	1214504576	4096
120	1214512768	1214516864	4096
121	1214520960	1214525056	4096
122	1214529152	1214533248	4096
123	1214537344	1214541440	4096
124	1214566016	1214570112	4096
125	1214570112	1214574208	4096
126	1214623360	1214627456	4096
