#Mirror displacement noise requirements in [m/sqrt(Hz). The mirror vibration levels have to be below these values in order to keep the contribution of these noises to DARM below the target sensitivity by the safety factor 10.
#freq, SAS Noise,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
1,7.775e-16,2.5836e-13,2.1259e-13,6.7133e-14,4.2599e-14,3.7808e-14,1.5396e-11,2.6686e-14
1.0093,7.2126e-16,2.3847e-13,1.9804e-13,6.6273e-14,4.109e-14,3.68e-14,1.4549e-11,2.5972e-14
1.0186,6.7359e-16,2.2167e-13,1.8566e-13,6.5805e-14,3.9843e-14,3.601e-14,1.3864e-11,2.5414e-14
1.028,6.239e-16,2.0444e-13,1.7259e-13,6.4754e-14,3.8265e-14,3.4903e-14,1.3121e-11,2.4631e-14
1.0376,5.8201e-16,1.8996e-13,1.6154e-13,6.4133e-14,3.6966e-14,3.4031e-14,1.252e-11,2.4015e-14
1.0472,5.3843e-16,1.7509e-13,1.4992e-13,6.2958e-14,3.5373e-14,3.2871e-14,1.1859e-11,2.3196e-14
1.0569,5.0157e-16,1.6254e-13,1.4007e-13,6.2206e-14,3.4046e-14,3.1937e-14,1.1318e-11,2.2536e-14
1.0667,4.6689e-16,1.5081e-13,1.3075e-13,6.1396e-14,3.271e-14,3.0977e-14,1.0799e-11,2.1858e-14
1.0765,4.343e-16,1.3986e-13,1.2194e-13,6.0538e-14,3.1374e-14,2.9997e-14,1.0302e-11,2.1166e-14
1.0865,4.0378e-16,1.2967e-13,1.1365e-13,5.9653e-14,3.0049e-14,2.9009e-14,9.8266e-12,2.0468e-14
1.0966,3.7509e-16,1.2014e-13,1.0583e-13,5.8727e-14,2.8731e-14,2.8009e-14,9.3678e-12,1.9762e-14
1.1067,3.4829e-16,1.1127e-13,9.8483e-14,5.7791e-14,2.7435e-14,2.701e-14,8.9285e-12,1.9057e-14
1.117,3.2303e-16,1.0296e-13,9.1531e-14,5.6809e-14,2.6147e-14,2.5998e-14,8.5012e-12,1.8342e-14
1.1273,2.9966e-16,9.5297e-14,8.5077e-14,5.5865e-14,2.4905e-14,2.5012e-14,8.0968e-12,1.7646e-14
1.1378,2.7954e-16,8.8711e-14,7.9513e-14,5.5261e-14,2.3838e-14,2.4182e-14,7.7556e-12,1.7061e-14
1.1483,2.5888e-16,8.1992e-14,7.377e-14,5.4288e-14,2.2637e-14,2.3197e-14,7.3755e-12,1.6366e-14
1.1589,2.4119e-16,7.6243e-14,6.8845e-14,5.3677e-14,2.161e-14,2.2373e-14,7.0561e-12,1.5784e-14
1.1697,2.2469e-16,7.09e-14,6.424e-14,5.31e-14,2.0616e-14,2.1565e-14,6.7502e-12,1.5214e-14
1.1805,2.0909e-16,6.5867e-14,5.9875e-14,5.2508e-14,1.9635e-14,2.0753e-14,6.4506e-12,1.4641e-14
1.1915,1.9314e-16,6.0744e-14,5.5389e-14,5.158e-14,1.8551e-14,1.9814e-14,6.1185e-12,1.3978e-14
1.2025,1.7959e-16,5.6393e-14,5.1574e-14,5.105e-14,1.7633e-14,1.9033e-14,5.8415e-12,1.3427e-14
1.2136,1.678e-16,5.2613e-14,4.8254e-14,5.0826e-14,1.6833e-14,1.8364e-14,5.6041e-12,1.2956e-14
1.2249,1.5575e-16,4.8766e-14,4.4846e-14,5.0328e-14,1.5956e-14,1.7594e-14,5.3404e-12,1.2412e-14
1.2362,1.4452e-16,4.5191e-14,4.1666e-14,4.9891e-14,1.5112e-14,1.6845e-14,5.0874e-12,1.1884e-14
1.2477,1.3479e-16,4.2093e-14,3.8906e-14,4.9786e-14,1.438e-14,1.6204e-14,4.8708e-12,1.1431e-14
1.2592,1.2484e-16,3.8939e-14,3.6076e-14,4.9423e-14,1.3581e-14,1.5473e-14,4.6307e-12,1.0916e-14
1.2709,1.1629e-16,3.6228e-14,3.3641e-14,4.9441e-14,1.2895e-14,1.4854e-14,4.4272e-12,1.0479e-14
