#Mirror displacement noise requirements in [m/sqrt(Hz). The mirror vibration levels have to be below these values in order to keep the contribution of these noises to DARM below the target sensitivity by the safety factor 10.
#freq, SAS Noise,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
1,7.775e-16,2.453e-13,2.2233e-13,1.8486e-13,7.1504e-14,7.4865e-14,2.4259e-11,5.2819e-14
1.0093,7.2126e-16,2.2701e-13,2.067e-13,1.8718e-13,6.8557e-14,7.2862e-14,2.3329e-11,5.1405e-14
1.0186,6.7359e-16,2.1153e-13,1.9343e-13,1.9101e-13,6.608e-14,7.1291e-14,2.2579e-11,5.0297e-14
1.028,6.239e-16,1.9552e-13,1.795e-13,1.9359e-13,6.3087e-14,6.9094e-14,2.1668e-11,4.8747e-14
1.0376,5.8201e-16,1.8204e-13,1.6775e-13,1.9797e-13,6.0585e-14,6.7364e-14,2.0935e-11,4.7526e-14
1.0472,5.3843e-16,1.6811e-13,1.5544e-13,2.0122e-13,5.7635e-14,6.5061e-14,2.0052e-11,4.5901e-14
1.0569,5.0157e-16,1.5634e-13,1.4503e-13,2.0651e-13,5.5149e-14,6.3208e-14,1.9333e-11,4.4594e-14
1.0667,4.6689e-16,1.453e-13,1.352e-13,2.125e-13,5.2678e-14,6.1304e-14,1.862e-11,4.3251e-14
1.0765,4.343e-16,1.3496e-13,1.2593e-13,2.1939e-13,5.0236e-14,5.9361e-14,1.7914e-11,4.1881e-14
1.0865,4.0378e-16,1.253e-13,1.1723e-13,2.2749e-13,4.7839e-14,5.7402e-14,1.722e-11,4.0499e-14
1.0966,3.7509e-16,1.1625e-13,1.0904e-13,2.3709e-13,4.5481e-14,5.5418e-14,1.6533e-11,3.91e-14
1.1067,3.4829e-16,1.0781e-13,1.0136e-13,2.4877e-13,4.3185e-14,5.3439e-14,1.5861e-11,3.7704e-14
1.117,3.2303e-16,9.9877e-14,9.4114e-14,2.6305e-13,4.0927e-14,5.1434e-14,1.5194e-11,3.6289e-14
1.1273,2.9966e-16,9.2549e-14,8.7394e-14,2.8132e-13,3.8766e-14,4.948e-14,1.4553e-11,3.4911e-14
1.1378,2.7954e-16,8.6244e-14,8.1605e-14,3.0689e-13,3.69e-14,4.7836e-14,1.4013e-11,3.3752e-14
1.1483,2.5888e-16,7.9794e-14,7.5645e-14,3.3866e-13,3.4848e-14,4.5886e-14,1.339e-11,3.2376e-14
1.1589,2.4119e-16,7.4271e-14,7.0537e-14,3.857e-13,3.3086e-14,4.4253e-14,1.2869e-11,3.1225e-14
1.1697,2.2469e-16,6.9129e-14,6.5767e-14,4.5573e-13,3.1393e-14,4.2652e-14,1.2363e-11,3.0096e-14
1.1805,2.0909e-16,6.4277e-14,6.1252e-14,5.6959e-13,2.9739e-14,4.1044e-14,1.1861e-11,2.8962e-14
1.1915,1.9314e-16,5.9326e-14,5.6623e-14,7.8156e-13,2.7948e-14,3.9185e-14,1.1291e-11,2.7651e-14
1.2025,1.7959e-16,5.512e-14,5.2687e-14,1.3517e-12,2.6424e-14,3.7639e-14,1.0818e-11,2.656e-14
1.2136,1.678e-16,5.1464e-14,4.9263e-14,6.4267e-12,2.5094e-14,3.6315e-14,1.0412e-11,2.5627e-14
1.2249,1.5575e-16,4.7734e-14,4.5755e-14,1.8853e-12,2.3662e-14,3.4791e-14,9.9521e-12,2.4551e-14
1.2362,1.4452e-16,4.4265e-14,4.2485e-14,7.938e-13,2.2296e-14,3.3308e-14,9.508e-12,2.3506e-14
1.2477,1.3479e-16,4.1258e-14,3.9648e-14,4.8552e-13,2.1106e-14,3.2038e-14,9.1277e-12,2.261e-14
1.2592,1.2484e-16,3.819e-14,3.6743e-14,3.3811e-13,1.9834e-14,3.0592e-14,8.6999e-12,2.159e-14
1.2709,1.1629e-16,3.5552e-14,3.4245e-14,2.5441e-13,1.8737e-14,2.9367e-14,8.3377e-12,2.0726e-14
1.2826,1.0834e-16,3.3103e-14,3.1921e-14,2.001e-13,1.7696e-14,2.8185e-14,7.9898e-12,1.9893e-14
