#Mirror displacement noise requirements in [m/sqrt(Hz). The mirror vibration levels have to be below these values in order to keep the contribution of these noises to DARM below the target sensitivity by the safety factor 10.
#freq, SAS Noise,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
1,7.775e-16,2.3873e-13,2.2802e-13,4.003e-12,1.1343e-13,1.3245e-13,1.1093e-12,1.0236e-13
1.0093,7.2126e-16,2.2125e-13,2.1172e-13,1.3935e-11,1.075e-13,1.2914e-13,1.1238e-12,9.9457e-14
1.0186,6.7359e-16,2.0644e-13,1.979e-13,7.4148e-12,1.0247e-13,1.2657e-13,1.144e-12,9.7157e-14
1.028,6.239e-16,1.9105e-13,1.8345e-13,2.8728e-12,9.6785e-14,1.2287e-13,1.1531e-12,9.4021e-14
1.0376,5.8201e-16,1.7808e-13,1.7126e-13,1.7281e-12,9.1994e-14,1.1998e-13,1.1686e-12,9.1535e-14
1.0472,5.3843e-16,1.6462e-13,1.5855e-13,1.1977e-12,8.665e-14,1.1605e-13,1.1728e-12,8.8287e-14
1.0569,5.0157e-16,1.5324e-13,1.478e-13,9.0225e-13,8.2124e-14,1.1291e-13,1.1836e-12,8.5663e-14
1.0667,4.6689e-16,1.4255e-13,1.3767e-13,7.1129e-13,7.7723e-14,1.0965e-13,1.1919e-12,8.298e-14
1.0765,4.343e-16,1.3252e-13,1.2814e-13,5.7794e-13,7.346e-14,1.0631e-13,1.1981e-12,8.0258e-14
1.0865,4.0378e-16,1.2313e-13,1.192e-13,4.7983e-13,6.9354e-14,1.0293e-13,1.2022e-12,7.7524e-14
1.0966,3.7509e-16,1.1432e-13,1.1079e-13,4.0467e-13,6.5387e-14,9.9491e-14,1.2041e-12,7.4766e-14
1.1067,3.4829e-16,1.0609e-13,1.0293e-13,3.4551e-13,6.1586e-14,9.6046e-14,1.2043e-12,7.2024e-14
1.117,3.2303e-16,9.8349e-14,9.5512e-14,2.9767e-13,5.791e-14,9.2542e-14,1.2019e-12,6.9255e-14
1.1273,2.9966e-16,9.1189e-14,8.8643e-14,2.5863e-13,5.4437e-14,8.9118e-14,1.1987e-12,6.6563e-14
1.1378,2.7954e-16,8.5026e-14,8.2727e-14,2.2752e-13,5.1435e-14,8.6243e-14,1.2011e-12,6.4296e-14
1.1483,2.5888e-16,7.8708e-14,7.6647e-14,1.9985e-13,4.8228e-14,8.2805e-14,1.194e-12,6.1623e-14
1.1589,2.4119e-16,7.3298e-14,7.1438e-14,1.7746e-13,4.5472e-14,7.9931e-14,1.1931e-12,5.9383e-14
1.1697,2.2469e-16,6.8256e-14,6.6577e-14,1.5822e-13,4.2854e-14,7.7107e-14,1.1913e-12,5.7191e-14
1.1805,2.0909e-16,6.3495e-14,6.198e-14,1.4144e-13,4.0329e-14,7.4263e-14,1.1875e-12,5.4995e-14
1.1915,1.9314e-16,5.8629e-14,5.7272e-14,1.259e-13,3.7658e-14,7.0956e-14,1.1742e-12,5.2467e-14
1.2025,1.7959e-16,5.4495e-14,5.327e-14,1.1312e-13,3.5384e-14,6.821e-14,1.1681e-12,5.0363e-14
1.2136,1.678e-16,5.0901e-14,4.979e-14,1.0239e-13,3.34e-14,6.586e-14,1.1671e-12,4.856e-14
1.2249,1.5575e-16,4.7229e-14,4.6229e-14,9.2262e-14,3.1307e-14,6.314e-14,1.1578e-12,4.6492e-14
1.2362,1.4452e-16,4.3812e-14,4.291e-14,8.3283e-14,2.933e-14,6.0491e-14,1.1477e-12,4.4485e-14
1.2477,1.3479e-16,4.0849e-14,4.0032e-14,7.5695e-14,2.761e-14,5.8224e-14,1.143e-12,4.2764e-14
1.2592,1.2484e-16,3.7824e-14,3.7088e-14,6.8431e-14,2.5803e-14,5.5631e-14,1.13e-12,4.0811e-14
