# frequency[Hz], mag, phase[deg]
1.00000e-02 9.94313e-01 -7.48597e-01 
1.99990e-02 1.04275e+00 -1.58022e+00 
2.99980e-02 1.13635e+00 -2.61246e+00 
3.99970e-02 1.30384e+00 -4.06592e+00 
4.99960e-02 1.62009e+00 -6.47416e+00 
5.99950e-02 2.33663e+00 -1.16303e+01 
6.99940e-02 4.88848e+00 -3.09588e+01 
7.99930e-02 5.50320e+00 -1.35290e+02 
8.99920e-02 1.86606e+00 -1.63012e+02 
9.99910e-02 9.76145e-01 -1.68955e+02 
1.09990e-01 5.93508e-01 -1.71212e+02 
1.19989e-01 3.79335e-01 -1.72002e+02 
1.29988e-01 2.39109e-01 -1.71615e+02 
1.39987e-01 1.35858e-01 -1.69057e+02 
1.49986e-01 5.24975e-02 -1.55712e+02 
1.59985e-01 3.85231e-02 -3.30471e+01 
1.69984e-01 1.21651e-01 -1.16411e+01 
1.79983e-01 2.34751e-01 -8.77480e+00 
1.89982e-01 4.24771e-01 -9.53156e+00 
1.99981e-01 9.08000e-01 -1.52916e+01 
2.09980e-01 3.95281e+00 -7.60223e+01 
2.19979e-01 1.16407e+00 -1.64824e+02 
2.29978e-01 5.89247e-01 -1.72604e+02 
2.39977e-01 3.90890e-01 -1.74986e+02 
2.49976e-01 2.87825e-01 -1.76000e+02 
2.59975e-01 2.22787e-01 -1.76386e+02 
2.69974e-01 1.76531e-01 -1.76295e+02 
2.79973e-01 1.40545e-01 -1.75578e+02 
2.89972e-01 1.10176e-01 -1.73539e+02 
2.99971e-01 8.27795e-02 -1.67328e+02 
3.09970e-01 6.55226e-02 -1.45357e+02 
3.19969e-01 9.83147e-02 -1.32083e+02 
3.29968e-01 9.68657e-02 -1.50638e+02 
3.39967e-01 7.38806e-02 -1.53468e+02 
3.49966e-01 5.90406e-02 -1.44941e+02 
3.59965e-01 5.75159e-02 -1.31036e+02 
3.69964e-01 6.81668e-02 -1.30180e+02 
3.79963e-01 6.15036e-02 -1.47923e+02 
3.89962e-01 3.07030e-02 -1.58978e+02 
3.99961e-01 9.30061e-03 -5.49701e+01 
4.09960e-01 4.74746e-02 -2.10952e+01 
4.19959e-01 1.05551e-01 -2.59978e+01 
4.29958e-01 2.07108e-01 -4.04703e+01 
4.39957e-01 3.67992e-01 -7.51109e+01 
4.49956e-01 3.64529e-01 -1.22498e+02 
4.59955e-01 2.59606e-01 -1.46979e+02 
4.69954e-01 1.95023e-01 -1.57749e+02 
4.79953e-01 1.56733e-01 -1.63421e+02 
4.89952e-01 1.31737e-01 -1.66872e+02 
4.99951e-01 1.14038e-01 -1.69189e+02 
5.09950e-01 1.00723e-01 -1.70856e+02 
5.19949e-01 9.02405e-02 -1.72119e+02 
5.29948e-01 8.16958e-02 -1.73115e+02 
5.39947e-01 7.45353e-02 -1.73928e+02 
5.49946e-01 6.83977e-02 -1.74610e+02 
