#Filename : asd_comm_seis.dat
#Date : 2018/07/20
#Author : K.Miyo
#
#Discription
#-----------
#Xend   	: displacement of the seismometer on the Xend 
#       	  2nd floar(EXV) with Xarm direction
#Center 	: displacement of the seismometer on the Center 
#       	  2nd floar(IXV) with Xarm direction
#GIF    	: strain of the Xarm 1500 m distance measured by 
#       	  GIF strainmeter
#diff_seis 	:= (Xend-Center)/sqrt(2)
#comm_seis 	:= (Xend+Center)/sqrt(2)
#diff_gif  	:= GIF*3000/sqrt(2)
#
#Data Information
#----------------
#Data Name         	: asd_comm_seis.dat
#Start [GPS Time]  	: 1214784018
#Time Lenght [sec] 	: 8192
#BW [Hz]           	: 7.8125e-03
#Window            	: Hanning
#Average           	: 64
#Overlap           	: 50% 
#Dof               	: 128
#
#
#Frequency[Hz],ASD [um/sqrtHz]
0.0000000e+00,nan
7.8125000e-03,1.3258990e+01
1.5625000e-02,4.8901562e+00
2.3437500e-02,1.8179213e+00
3.1250000e-02,7.6697029e-01
3.9062500e-02,3.9676159e-01
4.6875000e-02,2.4166990e-01
5.4687500e-02,1.6162634e-01
6.2500000e-02,1.1938985e-01
7.0312500e-02,8.2369130e-02
7.8125000e-02,5.9189812e-02
8.5937500e-02,5.1775138e-02
9.3750000e-02,4.7914340e-02
1.0156250e-01,4.3813323e-02
1.0937500e-01,3.6074181e-02
1.1718750e-01,3.2045315e-02
1.2500000e-01,3.0476847e-02
1.3281250e-01,2.8270577e-02
1.4062500e-01,3.5290186e-02
1.4843750e-01,4.4689049e-02
1.5625000e-01,5.4227069e-02
1.6406250e-01,7.1341391e-02
1.7187500e-01,9.0574311e-02
1.7968750e-01,1.1446026e-01
1.8750000e-01,1.4680552e-01
1.9531250e-01,1.7427962e-01
2.0312500e-01,1.9947954e-01
2.1093750e-01,2.3356724e-01
2.1875000e-01,2.7714503e-01
2.2656250e-01,2.7017232e-01
2.3437500e-01,2.4687910e-01
2.4218750e-01,2.4950102e-01
2.5000000e-01,2.1677358e-01
2.5781250e-01,1.8589941e-01
2.6562500e-01,1.9520224e-01
2.7343750e-01,1.8636118e-01
2.8125000e-01,1.7679805e-01
2.8906250e-01,1.7434548e-01
2.9687500e-01,1.6864740e-01
3.0468750e-01,1.5129242e-01
3.1250000e-01,1.5680964e-01
3.2031250e-01,1.4375948e-01
3.2812500e-01,1.3985202e-01
3.3593750e-01,1.2737038e-01
3.4375000e-01,1.2764956e-01
3.5156250e-01,1.2719918e-01
3.5937500e-01,1.1414485e-01
3.6718750e-01,1.1555151e-01
3.7500000e-01,1.0688590e-01
3.8281250e-01,1.0251841e-01
3.9062500e-01,9.1383499e-02
3.9843750e-01,8.0774585e-02
4.0625000e-01,7.4071837e-02
4.1406250e-01,7.6196095e-02
4.2187500e-01,6.9100287e-02
4.2968750e-01,6.3344008e-02
4.3750000e-01,6.1641530e-02
4.4531250e-01,5.8604573e-02
4.5312500e-01,5.5767908e-02
4.6093750e-01,4.9952546e-02
4.6875000e-01,4.3898248e-02
4.7656250e-01,3.9300187e-02
4.8437500e-01,3.7522494e-02
4.9218750e-01,3.5641818e-02
5.0000000e-01,3.5143662e-02
5.0781250e-01,3.3672043e-02
5.1562500e-01,3.0062871e-02
5.2343750e-01,2.9178568e-02
5.3125000e-01,2.7877223e-02
5.3906250e-01,2.5206871e-02
5.4687500e-01,2.4311284e-02
5.5468750e-01,2.5175797e-02
5.6250000e-01,2.3485306e-02
5.7031250e-01,2.1922375e-02
5.7812500e-01,2.2028490e-02
5.8593750e-01,2.0138522e-02
5.9375000e-01,1.8277974e-02
6.0156250e-01,1.8813365e-02
6.0937500e-01,1.7431520e-02
6.1718750e-01,1.4671439e-02
6.2500000e-01,1.4664067e-02
6.3281250e-01,1.3296942e-02
6.4062500e-01,1.3607732e-02
6.4843750e-01,1.3991443e-02
6.5625000e-01,1.3674170e-02
6.6406250e-01,1.3123185e-02
6.7187500e-01,1.3212894e-02
6.7968750e-01,1.1893088e-02
6.8750000e-01,1.0227497e-02
6.9531250e-01,9.9180068e-03
7.0312500e-01,1.0175207e-02
7.1093750e-01,9.6484395e-03
7.1875000e-01,9.9255303e-03
7.2656250e-01,9.5055375e-03
7.3437500e-01,9.0841161e-03
7.4218750e-01,8.6329277e-03
7.5000000e-01,8.9366424e-03
7.5781250e-01,8.5230598e-03
7.6562500e-01,8.0419034e-03
7.7343750e-01,8.2338582e-03
7.8125000e-01,7.9622445e-03
7.8906250e-01,7.3361289e-03
7.9687500e-01,6.8735758e-03
8.0468750e-01,7.3905948e-03
8.1250000e-01,6.7631898e-03
8.2031250e-01,6.4271466e-03
8.2812500e-01,5.9251737e-03
8.3593750e-01,5.5537917e-03
8.4375000e-01,5.8269932e-03
8.5156250e-01,6.0557703e-03
8.5937500e-01,5.7187411e-03
8.6718750e-01,5.0125969e-03
8.7500000e-01,4.6901415e-03
8.8281250e-01,4.4151723e-03
8.9062500e-01,4.2375652e-03
8.9843750e-01,4.3708743e-03
9.0625000e-01,4.0606757e-03
9.1406250e-01,3.7348162e-03
9.2187500e-01,3.7986740e-03
9.2968750e-01,3.7529450e-03
9.3750000e-01,3.4657986e-03
9.4531250e-01,3.4453974e-03
9.5312500e-01,3.2200299e-03
9.6093750e-01,3.0243664e-03
9.6875000e-01,3.1990369e-03
9.7656250e-01,3.3626424e-03
9.8437500e-01,3.1041695e-03
9.9218750e-01,2.9619492e-03
1.0000000e+00,2.9070886e-03
1.0078125e+00,2.7023549e-03
1.0156250e+00,2.6361740e-03
1.0234375e+00,2.5383685e-03
1.0312500e+00,2.5749043e-03
1.0390625e+00,2.4799113e-03
1.0468750e+00,2.3982652e-03
1.0546875e+00,2.4573137e-03
1.0625000e+00,2.3111103e-03
1.0703125e+00,2.1939754e-03
1.0781250e+00,2.1347204e-03
1.0859375e+00,1.9883041e-03
1.0937500e+00,1.8315276e-03
1.1015625e+00,1.8813911e-03
1.1093750e+00,1.8366051e-03
1.1171875e+00,1.6865958e-03
1.1250000e+00,1.8567139e-03
1.1328125e+00,1.8046965e-03
1.1406250e+00,1.6795960e-03
1.1484375e+00,1.5198415e-03
1.1562500e+00,1.5933681e-03
1.1640625e+00,1.6932487e-03
1.1718750e+00,1.5102355e-03
1.1796875e+00,1.4858810e-03
1.1875000e+00,1.5922047e-03
1.1953125e+00,1.4906325e-03
1.2031250e+00,1.4169253e-03
1.2109375e+00,1.4759334e-03
1.2187500e+00,1.3487306e-03
1.2265625e+00,1.3420500e-03
1.2343750e+00,1.3227949e-03
1.2421875e+00,1.2951926e-03
1.2500000e+00,1.1802461e-03
1.2578125e+00,1.1783922e-03
1.2656250e+00,1.2367833e-03
1.2734375e+00,1.2708627e-03
1.2812500e+00,1.2469867e-03
1.2890625e+00,1.2669826e-03
1.2968750e+00,1.2143195e-03
1.3046875e+00,1.0940340e-03
1.3125000e+00,1.0483923e-03
1.3203125e+00,1.0513659e-03
1.3281250e+00,1.0493243e-03
1.3359375e+00,1.0453852e-03
1.3437500e+00,9.7341447e-04
1.3515625e+00,9.6233516e-04
1.3593750e+00,9.8369521e-04
1.3671875e+00,9.3132665e-04
1.3750000e+00,8.7444758e-04
1.3828125e+00,9.4575867e-04
1.3906250e+00,9.2656909e-04
1.3984375e+00,8.4783263e-04
1.4062500e+00,8.1970992e-04
1.4140625e+00,8.6803953e-04
1.4218750e+00,8.7844218e-04
1.4296875e+00,8.1351830e-04
1.4375000e+00,8.7037501e-04
1.4453125e+00,8.3641168e-04
1.4531250e+00,8.4579938e-04
1.4609375e+00,8.3213609e-04
1.4687500e+00,8.1698953e-04
1.4765625e+00,8.4991405e-04
1.4843750e+00,8.9930744e-04
1.4921875e+00,9.3703520e-04
1.5000000e+00,9.0477051e-04
1.5078125e+00,8.7918101e-04
1.5156250e+00,9.4384100e-04
1.5234375e+00,9.6543702e-04
1.5312500e+00,9.7606259e-04
1.5390625e+00,1.0244246e-03
1.5468750e+00,9.9390023e-04
1.5546875e+00,8.9325460e-04
1.5625000e+00,9.4649745e-04
1.5703125e+00,9.8731177e-04
1.5781250e+00,9.3130277e-04
1.5859375e+00,9.4911610e-04
1.5937500e+00,9.1959801e-04
1.6015625e+00,8.8239177e-04
1.6093750e+00,8.9047698e-04
1.6171875e+00,9.3580512e-04
1.6250000e+00,1.0034827e-03
1.6328125e+00,9.5435771e-04
1.6406250e+00,9.2696256e-04
1.6484375e+00,9.0080709e-04
1.6562500e+00,8.9580795e-04
1.6640625e+00,9.0659520e-04
1.6718750e+00,8.9671695e-04
1.6796875e+00,8.3960665e-04
1.6875000e+00,9.2421076e-04
1.6953125e+00,9.3182080e-04
1.7031250e+00,9.3805050e-04
1.7109375e+00,9.6955817e-04
1.7187500e+00,9.1111559e-04
1.7265625e+00,9.3705809e-04
1.7343750e+00,9.1450986e-04
1.7421875e+00,9.1136904e-04
1.7500000e+00,9.0081590e-04
1.7578125e+00,8.3199192e-04
1.7656250e+00,8.3894275e-04
1.7734375e+00,8.1857711e-04
1.7812500e+00,7.4660026e-04
1.7890625e+00,7.4765592e-04
1.7968750e+00,7.1988338e-04
1.8046875e+00,6.9740576e-04
1.8125000e+00,6.2651812e-04
1.8203125e+00,6.5722294e-04
1.8281250e+00,6.3537912e-04
1.8359375e+00,6.2657887e-04
1.8437500e+00,5.8876440e-04
1.8515625e+00,5.5914236e-04
1.8593750e+00,5.3381755e-04
1.8671875e+00,5.5064927e-04
1.8750000e+00,4.9644159e-04
1.8828125e+00,5.0707372e-04
1.8906250e+00,5.1667629e-04
1.8984375e+00,5.5690507e-04
1.9062500e+00,5.3608859e-04
1.9140625e+00,5.1568447e-04
1.9218750e+00,5.3001073e-04
1.9296875e+00,5.6344924e-04
1.9375000e+00,5.2852578e-04
1.9453125e+00,5.2765741e-04
1.9531250e+00,4.9741657e-04
1.9609375e+00,5.0638468e-04
1.9687500e+00,4.9944313e-04
1.9765625e+00,5.2078531e-04
1.9843750e+00,5.5085812e-04
1.9921875e+00,5.3345292e-04
2.0000000e+00,5.5358179e-04
2.0078125e+00,7.1137601e-04
2.0156250e+00,6.3986003e-04
2.0234375e+00,5.3003821e-04
2.0312500e+00,5.6613165e-04
2.0390625e+00,5.2838063e-04
2.0468750e+00,5.2907176e-04
2.0546875e+00,5.7862516e-04
2.0625000e+00,5.8933799e-04
2.0703125e+00,5.8848409e-04
2.0781250e+00,6.1842534e-04
2.0859375e+00,7.2321066e-04
2.0937500e+00,7.1906006e-04
2.1015625e+00,7.0321967e-04
2.1093750e+00,7.0627107e-04
2.1171875e+00,6.8707670e-04
2.1250000e+00,6.3777714e-04
2.1328125e+00,6.6264281e-04
2.1406250e+00,6.7139631e-04
2.1484375e+00,6.4298145e-04
2.1562500e+00,5.7575896e-04
2.1640625e+00,5.5519178e-04
2.1718750e+00,5.9802913e-04
2.1796875e+00,6.0005769e-04
2.1875000e+00,6.1370856e-04
2.1953125e+00,5.9621124e-04
2.2031250e+00,6.4317386e-04
2.2109375e+00,6.3285611e-04
2.2187500e+00,6.2766125e-04
2.2265625e+00,6.7980580e-04
