#Filename : asd_diff_gif.dat
#Date : 2018/07/20
#Author : K.Miyo
#
#Discription
#-----------
#Xend   	: displacement of the seismometer on the Xend 
#       	  2nd floar(EXV) with Xarm direction
#Center 	: displacement of the seismometer on the Center 
#       	  2nd floar(IXV) with Xarm direction
#GIF    	: strain of the Xarm 1500 m distance measured by 
#       	  GIF strainmeter
#diff_seis 	:= (Xend-Center)/sqrt(2)
#comm_seis 	:= (Xend+Center)/sqrt(2)
#diff_gif  	:= GIF*3000/sqrt(2)
#
#Data Information
#----------------
#Data Name         	: asd_diff_gif.dat
#Start [GPS Time]  	: 1214784018
#Time Lenght [sec] 	: 8192
#BW [Hz]           	: 7.8125e-03
#Window            	: Hanning
#Average           	: 64
#Overlap           	: 50% 
#Dof               	: 128
#
#
#Frequency[Hz],ASD [um/sqrtHz]
0.0000000e+00,1.8716805e-02
7.8125000e-03,1.1398761e-01
1.5625000e-02,3.8368168e-02
2.3437500e-02,2.6767016e-02
3.1250000e-02,2.6987755e-02
3.9062500e-02,3.4399782e-02
4.6875000e-02,4.5727564e-02
5.4687500e-02,4.8745685e-02
6.2500000e-02,4.1992945e-02
7.0312500e-02,3.2958256e-02
7.8125000e-02,3.0922230e-02
8.5937500e-02,3.7435400e-02
9.3750000e-02,4.3326901e-02
1.0156250e-01,4.1101255e-02
1.0937500e-01,3.6214634e-02
1.1718750e-01,3.8077252e-02
1.2500000e-01,3.7137629e-02
1.3281250e-01,3.4820373e-02
1.4062500e-01,3.5089019e-02
1.4843750e-01,4.1200514e-02
1.5625000e-01,5.4512290e-02
1.6406250e-01,6.8683890e-02
1.7187500e-01,8.3988348e-02
1.7968750e-01,1.0721574e-01
1.8750000e-01,1.3581681e-01
1.9531250e-01,1.6283334e-01
2.0312500e-01,1.8481633e-01
2.1093750e-01,2.1735989e-01
2.1875000e-01,2.6142119e-01
2.2656250e-01,2.5863543e-01
2.3437500e-01,2.3084585e-01
2.4218750e-01,2.3518409e-01
2.5000000e-01,2.0611957e-01
2.5781250e-01,1.7688073e-01
2.6562500e-01,1.8237965e-01
2.7343750e-01,1.7849032e-01
2.8125000e-01,1.7121429e-01
2.8906250e-01,1.7190150e-01
2.9687500e-01,1.6756686e-01
3.0468750e-01,1.4984958e-01
3.1250000e-01,1.5160250e-01
3.2031250e-01,1.3709490e-01
3.2812500e-01,1.3709672e-01
3.3593750e-01,1.2663996e-01
3.4375000e-01,1.2666314e-01
3.5156250e-01,1.2810915e-01
3.5937500e-01,1.1662824e-01
3.6718750e-01,1.1377553e-01
3.7500000e-01,1.0677688e-01
3.8281250e-01,1.0696609e-01
3.9062500e-01,9.3231803e-02
3.9843750e-01,8.0642709e-02
4.0625000e-01,7.4021033e-02
4.1406250e-01,7.8450036e-02
4.2187500e-01,7.3859135e-02
4.2968750e-01,6.9065533e-02
4.3750000e-01,6.6818482e-02
4.4531250e-01,6.2557138e-02
4.5312500e-01,6.3212532e-02
4.6093750e-01,5.9685139e-02
4.6875000e-01,5.1079580e-02
4.7656250e-01,4.5091627e-02
4.8437500e-01,4.4276756e-02
4.9218750e-01,4.2807531e-02
5.0000000e-01,4.2732643e-02
5.0781250e-01,4.0282037e-02
5.1562500e-01,3.6534683e-02
5.2343750e-01,3.5525192e-02
5.3125000e-01,3.5336327e-02
5.3906250e-01,3.4908140e-02
5.4687500e-01,3.3029574e-02
5.5468750e-01,3.3258232e-02
5.6250000e-01,3.0455649e-02
5.7031250e-01,2.8899772e-02
5.7812500e-01,2.9577823e-02
5.8593750e-01,2.8019118e-02
5.9375000e-01,2.6189572e-02
6.0156250e-01,2.5883687e-02
6.0937500e-01,2.4765575e-02
6.1718750e-01,2.4658966e-02
6.2500000e-01,2.5545181e-02
6.3281250e-01,2.2810794e-02
6.4062500e-01,2.1577066e-02
6.4843750e-01,2.1185199e-02
6.5625000e-01,2.0985365e-02
6.6406250e-01,1.9837387e-02
6.7187500e-01,2.0625944e-02
6.7968750e-01,2.0715777e-02
6.8750000e-01,1.9930535e-02
6.9531250e-01,1.9637865e-02
7.0312500e-01,1.9057492e-02
7.1093750e-01,1.7548699e-02
7.1875000e-01,1.8880552e-02
7.2656250e-01,1.9085150e-02
7.3437500e-01,1.8191080e-02
7.4218750e-01,1.6400354e-02
7.5000000e-01,1.7692769e-02
7.5781250e-01,1.8381044e-02
7.6562500e-01,1.7712413e-02
7.7343750e-01,1.7435217e-02
7.8125000e-01,1.6602488e-02
7.8906250e-01,1.6655581e-02
7.9687500e-01,1.6498418e-02
8.0468750e-01,1.6448632e-02
8.1250000e-01,1.5342126e-02
8.2031250e-01,1.4080318e-02
8.2812500e-01,1.4301906e-02
8.3593750e-01,1.3605934e-02
8.4375000e-01,1.2944034e-02
8.5156250e-01,1.3436156e-02
8.5937500e-01,1.4565927e-02
8.6718750e-01,1.4139500e-02
8.7500000e-01,1.3164803e-02
8.8281250e-01,1.2168594e-02
8.9062500e-01,1.1832787e-02
8.9843750e-01,1.0522361e-02
9.0625000e-01,1.0715854e-02
9.1406250e-01,1.1508817e-02
9.2187500e-01,1.2896707e-02
9.2968750e-01,1.3844291e-02
9.3750000e-01,1.2584124e-02
9.4531250e-01,1.1394110e-02
9.5312500e-01,1.1523900e-02
9.6093750e-01,1.1234016e-02
9.6875000e-01,1.1421469e-02
9.7656250e-01,1.2033712e-02
9.8437500e-01,1.2251516e-02
9.9218750e-01,1.3746971e-02
1.0000000e+00,1.4461556e-02
1.0078125e+00,1.3429225e-02
1.0156250e+00,1.2153003e-02
1.0234375e+00,1.1866207e-02
1.0312500e+00,1.1812350e-02
1.0390625e+00,1.1888586e-02
1.0468750e+00,1.2034510e-02
1.0546875e+00,1.2740212e-02
1.0625000e+00,1.3099449e-02
1.0703125e+00,1.1785750e-02
1.0781250e+00,1.1549460e-02
1.0859375e+00,1.1753016e-02
1.0937500e+00,1.2652553e-02
1.1015625e+00,1.2956951e-02
1.1093750e+00,1.2777332e-02
1.1171875e+00,1.2942851e-02
1.1250000e+00,1.2105941e-02
1.1328125e+00,1.0813428e-02
1.1406250e+00,1.0553304e-02
1.1484375e+00,1.0332209e-02
1.1562500e+00,9.8759169e-03
1.1640625e+00,9.0765232e-03
1.1718750e+00,9.7663461e-03
1.1796875e+00,1.0814663e-02
1.1875000e+00,9.7590141e-03
1.1953125e+00,1.0048708e-02
1.2031250e+00,1.0918311e-02
1.2109375e+00,9.7601656e-03
1.2187500e+00,1.0248475e-02
1.2265625e+00,1.0865894e-02
1.2343750e+00,1.1283860e-02
1.2421875e+00,1.1658997e-02
1.2500000e+00,1.1624992e-02
1.2578125e+00,1.1720055e-02
1.2656250e+00,1.1411278e-02
1.2734375e+00,1.1645759e-02
1.2812500e+00,1.2757940e-02
1.2890625e+00,1.2625845e-02
1.2968750e+00,1.1371433e-02
1.3046875e+00,1.2029303e-02
1.3125000e+00,1.2434310e-02
1.3203125e+00,1.1437582e-02
1.3281250e+00,1.0213143e-02
1.3359375e+00,1.0925245e-02
1.3437500e+00,1.2215696e-02
1.3515625e+00,1.2336147e-02
1.3593750e+00,1.1595261e-02
1.3671875e+00,1.1778972e-02
1.3750000e+00,1.1157607e-02
1.3828125e+00,1.0035290e-02
1.3906250e+00,1.0484334e-02
1.3984375e+00,1.0453300e-02
1.4062500e+00,1.0430726e-02
1.4140625e+00,1.0749777e-02
1.4218750e+00,1.0297389e-02
1.4296875e+00,9.8592178e-03
1.4375000e+00,9.8370467e-03
1.4453125e+00,9.7011073e-03
1.4531250e+00,9.5283659e-03
1.4609375e+00,9.8228597e-03
1.4687500e+00,1.0182206e-02
1.4765625e+00,1.0387938e-02
1.4843750e+00,1.0167296e-02
1.4921875e+00,1.0903686e-02
1.5000000e+00,1.1513454e-02
1.5078125e+00,1.0293753e-02
