EventId,EventTime[UTC],EventGPS,PwaveFirstArrivalGPS,EventMagnitude,EventDistance[km],EventDepth[km],EventAzimuthA2B[degree],EventIncidentAngle[degree]
10965945,2018-10-31T12:36:32.300000Z,1225024610.3,,5.2,17098.037030772237,10.0,150.80181534696382,
10965916,2018-10-31T08:29:59.320000Z,1225009817.32,1225010454.2821512,5.1,3418.828367176666,25.35,263.99774092847656,19.872781582072999
10965556,2018-10-30T15:12:00.610000Z,1224947538.61,1224948042.0156,5.7,9558.189291257991,11.0,314.7984756315366,24.285986654629781
10965528,2018-10-30T12:52:39.850000Z,1224939177.85,1224939410.5241,5.1,4753.909374207726,178.62,158.02948181399057,34.758775065488294
10965520,2018-10-30T11:48:01.640000Z,1224935299.64,,5.0,17621.42513464607,10.0,203.08939107223063,
10965501,2018-10-30T08:32:25.210000Z,1224923563.21,1224924066.7298846,5.0,9563.065009073724,8.74,314.81237063638275,24.294790573063498
10965460,2018-10-30T02:59:58.140000Z,1224903616.14,1224904119.4079258,5.6,9561.042353133262,10.0,314.8490889684236,24.295167956156575
10965448,2018-10-30T02:13:39.550000Z,1224900837.55,1224901183.3405836,6.1,9208.51546026873,227.28,151.31944915170794,27.292954069521969
10967537,2018-10-29T23:43:22.000000Z,1224891820.0,1224892369.2622235,5.0,12680.057481127826,10.0,77.15470833462001,22.886820333436294
10965401,2018-10-29T23:26:09.160000Z,1224890787.16,1224891336.0766747,5.8,12697.878577979407,10.0,77.00078841723999,22.898226725744454
10965343,2018-10-29T21:31:16.770000Z,1224883894.77,1224884294.2227542,5.0,13851.822139340162,10.0,42.63975293590252,26.970582234278801
10965335,2018-10-29T21:11:18.410000Z,1224882696.41,1224883085.931901,5.1,5862.465875218612,42.48,221.9533417727177,27.045768274972602
10965333,2018-10-29T21:07:13.310000Z,1224882451.31,,5.5,17093.547208720396,10.0,151.1257410801784,
10965319,2018-10-29T20:17:22.520000Z,1224879460.52,,5.8,17084.879733186768,10.0,151.0673429001278,
10965212,2018-10-29T14:51:46.650000Z,1224859924.65,1224860169.4093301,5.3,3258.538997041093,10.0,201.73012730047208,40.3795895749736
10968097,2018-10-29T14:41:46.670000Z,1224859324.67,1224859569.9476898,5.1,3295.89696686307,10.0,201.80116745781336,40.338110036637524
10965206,2018-10-29T14:40:33.100000Z,1224859251.1,1224859495.248395,5.2,3268.8113259946217,10.0,201.6739723158925,40.428122366811841
10965184,2018-10-29T13:41:13.350000Z,1224855691.35,1224855935.4681394,5.2,3254.4618516051414,10.0,201.66361276828826,40.430511829702205
10965136,2018-10-29T07:41:55.940000Z,1224834133.94,1224834471.0745049,5.0,6656.712703257874,182.89,145.4642107846228,27.498103081671619
