#ダウンロードした時刻：2018/04/26 21:00:10
#,神岡,神岡,神岡,神岡,神岡,神岡
#年月日時,気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm)
#,,品質情報,均質番号,,品質情報,均質番号
2018/4/23 1:00:00,11.7,8,1,0.0,8,1
2018/4/23 2:00:00,11.2,8,1,0.0,8,1
2018/4/23 3:00:00,10.6,8,1,0.0,8,1
2018/4/23 4:00:00,10.4,8,1,0.0,8,1
2018/4/23 5:00:00,10.3,8,1,0.0,8,1
2018/4/23 6:00:00,10.3,8,1,0.0,8,1
2018/4/23 7:00:00,11.8,8,1,0.0,8,1
2018/4/23 8:00:00,15.3,8,1,0.0,8,1
2018/4/23 9:00:00,19.1,8,1,0.0,8,1
2018/4/23 10:00:00,21.2,8,1,0.0,8,1
2018/4/23 11:00:00,22.6,8,1,0.0,8,1
2018/4/23 12:00:00,23.3,8,1,0.0,8,1
2018/4/23 13:00:00,22.7,8,1,0.0,8,1
2018/4/23 14:00:00,22.9,8,1,0.0,8,1
2018/4/23 15:00:00,20.7,8,1,0.0,8,1
2018/4/23 16:00:00,19.8,8,1,0.0,8,1
2018/4/23 17:00:00,19.2,8,1,0.0,8,1
2018/4/23 18:00:00,17.9,8,1,0.0,8,1
2018/4/23 19:00:00,18.3,8,1,0.0,8,1
2018/4/23 20:00:00,18.7,8,1,0.0,8,1
2018/4/23 21:00:00,17.8,8,1,0.0,8,1
2018/4/23 22:00:00,16.7,8,1,0.0,8,1
2018/4/23 23:00:00,14.4,8,1,0.0,8,1
2018/4/24 00:00:00,13.6,8,1,0.5,8,1
2018/4/24 1:00:00,13.6,8,1,0.0,8,1
2018/4/24 2:00:00,13.5,8,1,0.5,8,1
2018/4/24 3:00:00,13.3,8,1,1.5,8,1
2018/4/24 4:00:00,13.3,8,1,0.5,8,1
2018/4/24 5:00:00,13.2,8,1,0.0,8,1
2018/4/24 6:00:00,13.2,8,1,0.5,8,1
2018/4/24 7:00:00,13.3,8,1,1.0,8,1
2018/4/24 8:00:00,13.5,8,1,0.5,8,1
2018/4/24 9:00:00,13.8,8,1,0.5,8,1
2018/4/24 10:00:00,14.1,8,1,1.0,8,1
2018/4/24 11:00:00,14.5,8,1,2.0,8,1
2018/4/24 12:00:00,14.9,8,1,0.5,8,1
2018/4/24 13:00:00,14.7,8,1,1.0,8,1
2018/4/24 14:00:00,15.2,8,1,1.0,8,1
2018/4/24 15:00:00,15.0,8,1,1.0,8,1
2018/4/24 16:00:00,14.6,8,1,1.5,8,1
2018/4/24 17:00:00,14.2,8,1,2.0,8,1
2018/4/24 18:00:00,13.9,8,1,2.5,8,1
2018/4/24 19:00:00,13.6,8,1,4.0,8,1
2018/4/24 20:00:00,13.5,8,1,3.0,8,1
2018/4/24 21:00:00,13.4,8,1,2.5,8,1
2018/4/24 22:00:00,13.4,8,1,4.5,8,1
2018/4/24 23:00:00,13.3,8,1,2.5,8,1
2018/4/25 00:00:00,13.3,8,1,3.0,8,1
2018/4/25 1:00:00,13.4,8,1,3.5,8,1
2018/4/25 2:00:00,13.3,8,1,4.0,8,1
2018/4/25 3:00:00,13.4,8,1,2.5,8,1
2018/4/25 4:00:00,13.3,8,1,8.0,8,1
2018/4/25 5:00:00,13.5,8,1,10.0,8,1
2018/4/25 6:00:00,13.7,8,1,8.5,8,1
2018/4/25 7:00:00,13.8,8,1,4.5,8,1
2018/4/25 8:00:00,14.3,8,1,2.0,8,1
2018/4/25 9:00:00,15.6,8,1,1.0,8,1
2018/4/25 10:00:00,16.4,8,1,0.0,8,1
2018/4/25 11:00:00,17.2,8,1,0.0,8,1
2018/4/25 12:00:00,17.1,8,1,0.0,8,1
2018/4/25 13:00:00,17.5,8,1,0.0,8,1
2018/4/25 14:00:00,17.4,8,1,0.0,8,1
2018/4/25 15:00:00,16.2,8,1,0.0,8,1
2018/4/25 16:00:00,14.7,8,1,0.0,8,1
2018/4/25 17:00:00,13.6,8,1,0.0,8,1
2018/4/25 18:00:00,12.5,8,1,0.0,8,1
2018/4/25 19:00:00,12.0,8,1,0.0,8,1
2018/4/25 20:00:00,11.9,8,1,0.0,8,1
2018/4/25 21:00:00,11.8,8,1,0.0,8,1
2018/4/25 22:00:00,11.2,8,1,0.0,8,1
2018/4/25 23:00:00,10.7,8,1,0.0,8,1
2018/4/26 00:00:00,10.3,8,1,0.0,8,1
