      GPS_START     GPS_END            JST_START  DURATION
127  1205292768  1205294080  2018-03-17-12:32:30      1312
126  1205285760  1205290336  2018-03-17-10:35:42      4576
125  1205278720  1205283328  2018-03-17-08:38:22      4608
124  1205271232  1205275808  2018-03-17-06:33:34      4576
123  1205263200  1205267776  2018-03-17-04:19:42      4576
122  1205201472  1205257344  2018-03-16-11:10:54     55872
121  1205199168  1205201376  2018-03-16-10:32:30      2208
120  1205113088  1205198432  2018-03-15-10:37:50     85344
119  1205106080  1205110688  2018-03-15-08:41:02      4608
118  1205049152  1205053760  2018-03-14-16:52:14      4608
117  1205040736  1205045376  2018-03-14-14:31:58      4640
116  1205032736  1205037312  2018-03-14-12:18:38      4576
115  1205025312  1205029888  2018-03-14-10:14:54      4576
114  1205017824  1205022432  2018-03-14-08:10:06      4608
113  1205009888  1205014464  2018-03-14-05:57:50      4576
112  1205002144  1205006784  2018-03-14-03:48:46      4640
111  1204969376  1204996448  2018-03-13-18:42:38     27072
110  1204907296  1204969280  2018-03-13-01:27:58     61984
109  1204901024  1204905632  2018-03-12-23:43:26      4608
108  1204893760  1204898368  2018-03-12-21:42:22      4608
107  1204888832  1204893440  2018-03-12-20:20:14      4608
106  1204885856  1204888736  2018-03-12-19:30:38      2880
105  1204878560  1204883168  2018-03-12-17:29:02      4608
104  1204871232  1204875872  2018-03-12-15:26:54      4640
103  1204863936  1204868544  2018-03-12-13:25:18      4608
102  1204856672  1204861280  2018-03-12-11:24:14      4608
101  1204846496  1204851072  2018-03-12-08:34:38      4576
100  1204838240  1204842816  2018-03-12-06:17:02      4576
99   1204830144  1204834688  2018-03-12-04:02:06      4544
98   1204822080  1204826656  2018-03-12-01:47:42      4576
..          ...         ...                  ...       ...
29   1204216224  1204220832  2018-03-05-01:30:06      4608
28   1204211072  1204215680  2018-03-05-00:04:14      4608
27   1204206080  1204210944  2018-03-04-22:41:02      4864
26   1204201088  1204205728  2018-03-04-21:17:50      4640
25   1204194336  1204198944  2018-03-04-19:25:18      4608
24   1204189408  1204194016  2018-03-04-18:03:10      4608
23   1204182496  1204187072  2018-03-04-16:07:58      4576
22   1204175552  1204180160  2018-03-04-14:12:14      4608
21   1204168640  1204173248  2018-03-04-12:17:02      4608
20   1204161728  1204166368  2018-03-04-10:21:50      4640
19   1204154848  1204159456  2018-03-04-08:27:10      4608
18   1204147968  1204152576  2018-03-04-06:32:30      4608
17   1204141088  1204145664  2018-03-04-04:37:50      4576
16   1204133824  1204138464  2018-03-04-02:36:46      4640
15   1204126720  1204131328  2018-03-04-00:38:22      4608
14   1204119904  1204124480  2018-03-03-22:44:46      4576
13   1204113088  1204117696  2018-03-03-20:51:10      4608
12   1204106336  1204110912  2018-03-03-18:58:38      4576
11   1204099552  1204104128  2018-03-03-17:05:34      4576
10   1204092832  1204097408  2018-03-03-15:13:34      4576
9    1204086112  1204090688  2018-03-03-13:21:34      4576
8    1204079392  1204083968  2018-03-03-11:29:34      4576
7    1204072704  1204077248  2018-03-03-09:38:06      4544
6    1204065984  1204070528  2018-03-03-07:46:06      4544
5    1204059200  1204063808  2018-03-03-05:53:02      4608
4    1204052544  1204057088  2018-03-03-04:02:06      4544
3    1204045536  1204050144  2018-03-03-02:05:18      4608
2    1204018304  1204043008  2018-03-02-18:31:26     24704
1    1204008032  1204018208  2018-03-02-15:40:14     10176
0    1204002112  1204006688  2018-03-02-14:01:34      4576

[128 rows x 4 columns]
