#時刻	気温	降水量	風向	風速	日照時間	湿度	気圧
#時	℃	mm	16方位	m/s	h	%	hPa
1	15.4	0.5	北東	0.9	 	98	999.0
2	15.7	2.5	東	0.6	 	99	998.7
3	16.9	4.5	南南西	2.6	 	100	998.7
4	17.2	1.5	南南西	2.1	0.0	100	998.6
5	18.2	0.5	西南西	4.1	0.0	94	999.5
6	17.1	2.5	南南西	2.8	0.0	97	1000.4
7	17.0	1.0	南南西	3.5	0.0	97	1001.1
8	16.7	1.5	西南西	2.7	0.0	95	1002.1
9	15.9	0.5	西南西	6.7	0.0	86	1002.9
10	16.0	0.0	西南西	7.8	0.0	79	1003.8
11	14.9	0.0	西南西	7.6	0.0	78	1004.4
12	14.4	0.0	西南西	8.6	0.0	73	1005.2
13	15.9	0.0	西南西	6.8	0.1	68	1005.0
14	15.5	0.0	西南西	7.2	0.4	66	1005.6
15	15.6	0.0	西南西	5.9	0.0	64	1005.6
16	16.0	0.0	西南西	5.3	0.3	59	1005.7
17	15.5	0.0	西南西	6.2	0.6	59	1005.8
18	14.9	0.0	西南西	6.0	0.9	58	1005.9
19	14.3	0.0	西南西	3.7	0.1	62	1006.5
20	13.6	0.0	南西	2.8	0.0	66	1007.0
#21	 	 	 	 	 	 	 
#22	 	 	 	 	 	 	 
#23	 	 	 	 	 	 	 
#24
