hour	temperature	precipitation	Wind direction	Wind speed	time of sunlight	humidity	pressure
1	15.2	0.5	西北西	0.8	 	0	98	1001.7
2	15.4	2.0	静穏	0.2	 	0	98	1000.5
3	15.3	3.5	東	0.6	 	0	99	1000.1
4	15.6	0.5	北西	0.7	0.0	0	99	1000.1
5	15.7	3.5	南東	0.7	0.0	0	99	1000.1
6	16.2	1.5	東南東	0.6	0.0	0	98	1000.1
7	16.5	1.0	北東	0.4	0.0	0	98	1000.2
8	17.6	0.0	東北東	0.4	0.0	0	95	1000.4
9	18.3	0.0	南西	4.0	0.0	0	75	1000.9
10	18.2	0.0	南南西	4.1	0.0	0	62	1001.8
11	17.6	0.0	南西	4.2	0.0	0	64	1002.2
12	18.5	0.0	西南西	5.3	0.0	0	55	1001.6
13	17.8	0.0	西南西	5.4	0.0	0	56	1001.9
14	18.6	0.0	西南西	4.8	0.5	0	49	1001.5
15	16.6	0.0	西北西	2.9	0.0	0	55	1002.5
16	15.5	0.0	北西	3.3	0.0	0	60	1003.3
17	15.5	0.0	東南東	1.1	0.1	0	55	1003.2
18	14.2	0.0	西南西	3.0	0.0	0	46	1004.5
19	12.5	0.0	南西	2.7	0.1	0	45	1005.7
20	11.3	0.0	西北西	1.8	0.0	0	51	1006.9
