#  -name:X1500_TR240velEW
#  -gps:1206576018.0 s
#  -tlen:3660.0 s
#  -fs:0.0166666666667 Hz
0.000000 0.001888
60.000000 0.001870
120.000000 0.001706
180.000000 0.001826
240.000000 0.001952
300.000000 0.001798
360.000000 0.001757
420.000000 0.001823
480.000000 0.001923
540.000000 0.001865
600.000000 0.001843
660.000000 0.001843
720.000000 0.001819
780.000000 0.001772
840.000000 0.001869
900.000000 0.001926
960.000000 0.001922
1020.000000 0.001858
1080.000000 0.001934
1140.000000 0.001978
1200.000000 0.001947
1260.000000 0.001921
1320.000000 0.001908
1380.000000 0.001928
1440.000000 0.001924
1500.000000 0.001928
1560.000000 0.001956
1620.000000 0.001953
1680.000000 0.001924
1740.000000 0.001858
1800.000000 0.001941
1860.000000 0.001997
1920.000000 0.001967
1980.000000 0.001854
2040.000000 0.001861
2100.000000 0.001937
2160.000000 0.001954
2220.000000 0.001934
2280.000000 0.001948
2340.000000 0.001967
2400.000000 0.001925
2460.000000 0.001955
2520.000000 0.001923
2580.000000 0.001915
2640.000000 0.001924
2700.000000 0.001955
2760.000000 0.001978
2820.000000 0.001999
2880.000000 0.001940
2940.000000 0.001878
3000.000000 0.001746
3060.000000 0.001935
3120.000000 0.001989
3180.000000 0.001957
3240.000000 0.001918
3300.000000 0.001941
3360.000000 0.001941
3420.000000 0.001975
3480.000000 0.001925
3540.000000 0.001907
3600.000000 0.001887
