#  -name:X500_BARO
#  -gps:1201478418.0 s
#  -tlen:172860.0 s
#  -fs:0.0166666666667 Hz
0.000000 979.613124
60.000000 979.627109
120.000000 979.637980
180.000000 979.661549
240.000000 979.695872
300.000000 979.731430
360.000000 979.751032
420.000000 979.761640
480.000000 979.748031
540.000000 979.706951
600.000000 979.592757
660.000000 979.568995
720.000000 979.555189
780.000000 979.583637
840.000000 979.630547
900.000000 979.684333
960.000000 979.714555
1020.000000 979.706187
1080.000000 979.693044
1140.000000 979.690899
1200.000000 979.675114
1260.000000 979.663618
1320.000000 979.675575
1380.000000 979.711223
1440.000000 979.750694
1500.000000 979.770296
1560.000000 979.743139
1620.000000 979.700687
1680.000000 979.691323
1740.000000 979.707983
1800.000000 979.730454
1860.000000 979.724967
1920.000000 979.683933
1980.000000 979.654392
2040.000000 979.655709
2100.000000 979.675875
2160.000000 979.712533
2220.000000 979.732505
2280.000000 979.730383
2340.000000 979.720907
2400.000000 979.721900
2460.000000 979.725515
2520.000000 979.726903
2580.000000 979.734147
2640.000000 979.755705
2700.000000 979.782021
2760.000000 979.804110
2820.000000 979.837728
2880.000000 979.860037
2940.000000 979.861552
3000.000000 979.854425
3060.000000 979.846422
3120.000000 979.889804
3180.000000 979.932953
3240.000000 979.918619
3300.000000 979.858536
3360.000000 979.804241
3420.000000 979.779041
3480.000000 979.776036
3540.000000 979.777835
3600.000000 979.786550
3660.000000 979.792349
3720.000000 979.780528
3780.000000 979.766148
3840.000000 979.775773
3900.000000 979.731959
3960.000000 979.727830
4020.000000 979.688003
4080.000000 979.660149
4140.000000 979.629553
4200.000000 979.594794
4260.000000 979.569446
4320.000000 979.559351
4380.000000 979.536350
4440.000000 979.492519
4500.000000 979.457246
4560.000000 979.462082
4620.000000 979.494182
4680.000000 979.496919
4740.000000 979.448976
4800.000000 979.396695
4860.000000 979.384080
4920.000000 979.373102
4980.000000 979.339634
5040.000000 979.327878
5100.000000 979.304505
5160.000000 979.327497
5220.000000 979.365487
5280.000000 979.354147
5340.000000 979.285444
5400.000000 979.221144
5460.000000 979.227364
5520.000000 979.272032
5580.000000 979.286952
5640.000000 979.283310
5700.000000 979.284068
5760.000000 979.271784
5820.000000 979.241174
5880.000000 979.213243
5940.000000 979.211176
6000.000000 979.214245
6060.000000 979.207301
6120.000000 979.182584
6180.000000 979.151610
6240.000000 979.126552
6300.000000 979.114309
6360.000000 979.132419
6420.000000 979.177087
6480.000000 979.218124
6540.000000 979.207522
6600.000000 979.159005
6660.000000 979.116299
6720.000000 979.095172
6780.000000 979.086719
6840.000000 979.073962
6900.000000 979.027136
6960.000000 978.981737
7020.000000 978.984366
7080.000000 979.018509
7140.000000 979.038217
7200.000000 979.022502
7260.000000 978.971721
7320.000000 978.915847
7380.000000 978.859498
7440.000000 978.814586
7500.000000 978.794256
7560.000000 978.804634
7620.000000 978.818697
7680.000000 978.838470
7740.000000 978.876805
7800.000000 978.899889
7860.000000 978.895411
7920.000000 978.901881
7980.000000 978.943937
8040.000000 978.979581
8100.000000 979.030535
8160.000000 979.078932
