#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
0.0078125 6.05194E-07 1.99048E-07 1.28518E-07 3.03469E-07 7.22532E-08 3.26434E-08
0.015625  6.05194E-07 1.99048E-07 1.28518E-07 3.03469E-07  7.22532E-08 3.26434E-08
0.0234375 6.05194E-07 1.99048E-07 1.28518E-07 3.03469E-07 7.22532E-08 3.26434E-08
0.03125 6.05194E-07 1.99048E-07 1.28518E-07 3.03469E-07 7.22532E-08 3.26434E-08
0.0390625 6.05194E-07 1.99048E-07  1.28518E-07 3.03469E-07 7.22532E-08 3.26434E-08
0.046875  6.05194E-07 1.99048E-07 1.28518E-07 3.03469E-07 7.22532E-08  3.26434E-08
0.0546875 6.05194E-07 1.99048E-07 1.28518E-07 3.03469E-07 7.22532E-08 3.26434E-08
0.0625  6.05194E-07 1.99048E-07  1.28518E-07 3.03469E-07 7.22532E-08 3.26434E-08
0.0703125 6.05194E-07 1.99048E-07 1.28518E-07 3.03469E-07 7.22532E-08 3.26434E-08 # <- start "flat"
0.078125  5.81365E-07 1.57708E-07 1.3315E-07  3.47113E-07 6.91905E-08 3.43459E-08
0.0859375 4.96319E-07 1.45951E-07 7.53481E-08 2.48016E-07 7.01367E-08 3.3777E-08
0.09375 1.87651E-07 7.14182E-08 8.28814E-08 1.50529E-07 6.26212E-08 3.06914E-08
0.1015625 3.47066E-07 6.3556E-08  6.71016E-08 1.12408E-07 6.81559E-08 5.32511E-08
0.109375  2.24317E-07 8.78499E-08 7.88602E-08 1.83199E-07 7.28502E-08 6.43173E-08
0.1171875 1.61805E-07 1.32999E-07 9.56401E-08 1.94593E-07 6.52538E-08 8.5615E-08
0.125 2.58753E-07 1.43509E-07 1.0129E-07  1.38937E-07 9.01981E-08 6.16573E-08
0.1328125 2.1419E-07  1.72625E-07 1.38717E-07 1.23609E-07 9.74499E-08 7.33748E-08
0.140625  1.81577E-07 1.8142E-07  1.35181E-07 1.11342E-07 8.46577E-08 9.334E-08
0.1484375 1.29838E-07 1.19218E-07 1.41915E-07 6.35663E-08 8.87871E-08 9.37035E-08
0.15625 9.1E-08 1.3253E-07  1.43202E-07 7.43273E-08 7.60769E-08 1.12957E-07
0.1640625 1.06291E-07 9.76353E-08 1.11457E-07 6.44929E-08 3.52886E-08 1.04818E-07
0.171875  1.09071E-07 7.16762E-08 9.46564E-08 8.96481E-08 8.02422E-08 1.13312E-07
0.1796875 1.4295E-07  1.11013E-07 7.32823E-08 1.37106E-07 1.04845E-07 9.79399E-08
0.1875  1.31415E-07 1.42203E-07 2.0359E-07  6.36536E-08 2.00236E-07 1.75277E-07
0.1953125 1.84432E-07 2.31341E-07 2.65593E-07 2.23668E-07 2.5218E-07  2.95405E-07
0.203125  3.08886E-07 2.27332E-07 3.86739E-07 3.54816E-07 3.4206E-07  3.25675E-07
0.2109375 5.32518E-07 4.37077E-07 7.187E-07 4.71262E-07 3.56154E-07 2.79659E-07
0.21875 7.08923E-07 5.92164E-07 6.88424E-07 5.37594E-07 4.58034E-07 3.37324E-07
0.2265625 5.41298E-07 4.7913E-07  6.59343E-07 4.69323E-07 4.77645E-07 4.64233E-07
0.234375  4.68982E-07 2.8954E-07  5.92674E-07 4.25734E-07 4.45144E-07 5.32466E-07
0.2421875 4.87277E-07 4.00294E-07 2.92975E-07 5.63892E-07 4.4108E-07  3.72837E-07
0.25  3.64928E-07 5.02979E-07 5.56786E-07 3.14912E-07 4.20099E-07 3.95201E-07
0.2578125 2.84355E-07 3.11406E-07 4.40087E-07 2.19595E-07 3.2712E-07  3.53236E-07
0.265625  2.71892E-07 2.18472E-07 3.01912E-07 3.54859E-07 3.39986E-07 3.20385E-07
0.2734375 3.75233E-07 2.17111E-07 4.07905E-07 2.44917E-07 3.02437E-07 1.92867E-07
0.28125 2.81872E-07 3.10152E-07 4.47945E-07 2.3727E-07  3.20333E-07 1.82506E-07
0.2890625 1.83429E-07 2.5988E-07  2.84592E-07 2.29416E-07 3.01308E-07 1.77526E-07
0.296875  6.06992E-08 3.01606E-07 2.82384E-07 2.82866E-07 2.32771E-07 2.04274E-07
0.3046875 1.31623E-07 2.5512E-07  3.36167E-07 3.12728E-07 2.42838E-07 2.34005E-07
0.3125  2.07735E-07 2.02084E-07 3.44092E-07 3.31014E-07 2.18103E-07 2.42321E-07
0.3203125 2.77737E-07 3.04117E-07 2.66121E-07 2.08959E-07 1.79933E-07 2.10952E-07
