# seg	start    	stop     	duration
0	1235222466	1235226066	3600
1	1233892428	1233896028	3600
2	1239194207	1239197807	3600
3	1239248043	1239251643	3600
4	1233520933	1233524533	3600
5	1238272801	1238276401	3600
6	1234347866	1234351466	3600
7	1234597724	1234601324	3600
8	1238749592	1238753192	3600
9	1234526708	1234530308	3600
10	1236261686	1236265286	3600
11	1233147018	1233150618	3600
12	1235730951	1235734551	3600
13	1235763110	1235766710	3600
14	1233022564	1233026164	3600
15	1234903919	1234907519	3600
16	1233837252	1233840852	3600
17	1233216381	1233219981	3600
18	1236295390	1236298990	3600
19	1239930224	1239933824	3600
20	1237135093	1237138693	3600
21	1238226692	1238230292	3600
22	1237491454	1237495054	3600
23	1237275220	1237278820	3600
24	1239879922	1239883522	3600
25	1238786469	1238790069	3600
26	1235694753	1235698353	3600
27	1233866433	1233870033	3600
28	1234433783	1234437383	3600
29	1233563770	1233567370	3600
30	1233052688	1233056288	3600
31	1236452381	1236455981	3600
32	1238983448	1238987048	3600
33	1235415867	1235419467	3600
34	1233563534	1233567134	3600
35	1238166307	1238169907	3600
36	1236462431	1236466031	3600
37	1238876276	1238879876	3600
38	1238951595	1238955195	3600
39	1236236274	1236239874	3600
40	1236389963	1236393563	3600
41	1236431981	1236435581	3600
42	1237158309	1237161909	3600
43	1235622103	1235625703	3600
44	1240619968	1240623568	3600
45	1236594371	1236597971	3600
46	1238941271	1238944871	3600
47	1235857998	1235861598	3600
48	1233933814	1233937414	3600
49	1233084381	1233087981	3600
50	1236505636	1236509236	3600
51	1235725259	1235728859	3600
52	1233864353	1233867953	3600
53	1239399932	1239403532	3600
54	1238662819	1238666419	3600
55	1235993832	1235997432	3600
56	1234634198	1234637798	3600
57	1234909679	1234913279	3600
58	1237173436	1237177036	3600
59	1239267216	1239270816	3600
60	1238661071	1238664671	3600
61	1237795467	1237799067	3600
62	1236359765	1236363365	3600
63	1235203148	1235206748	3600
64	1233757876	1233761476	3600
65	1233228569	1233232169	3600
66	1235575397	1235578997	3600
67	1234271047	1234274647	3600
68	1233494882	1233498482	3600
69	1240560020	1240563620	3600
70	1234072447	1234076047	3600
71	1238201842	1238205442	3600
72	1235191453	1235195053	3600
73	1238706711	1238710311	3600
74	1238664435	1238668035	3600
75	1239510217	1239513817	3600
76	1237540551	1237544151	3600
77	1234453374	1234456974	3600
78	1234614698	1234618298	3600
79	1235586849	1235590449	3600
80	1233833753	1233837353	3600
81	1236487387	1236490987	3600
82	1233851065	1233854665	3600
83	1237643237	1237646837	3600
84	1233818031	1233821631	3600
85	1235880384	1235883984	3600
86	1238687460	1238691060	3600
87	1239250736	1239254336	3600
88	1235862044	1235865644	3600
89	1235759265	1235762865	3600
90	1238129705	1238133305	3600
91	1235663745	1235667345	3600
92	1236030109	1236033709	3600
93	1235859766	1235863366	3600
94	1234123728	1234127328	3600
95	1235647226	1235650826	3600
96	1235747619	1235751219	3600
97	1240514202	1240517802	3600
98	1234620990	1234624590	3600
99	1239352050	1239355650	3600
100	1234625518	1234629118	3600
101	1237565969	1237569569	3600
102	1239480531	1239484131	3600
103	1236291247	1236294847	3600
104	1238756322	1238759922	3600
105	1240581453	1240585053	3600
106	1237177710	1237181310	3600
107	1236006548	1236010148	3600
108	1237640393	1237643993	3600
109	1235225011	1235228611	3600
110	1235749688	1235753288	3600
111	1234042928	1234046528	3600
112	1233903202	1233906802	3600
