# seg	start	stop	duration
0	1211814018	1211818114	4096
1	1211818114	1211822210	4096
2	1211822210	1211826306	4096
3	1211826306	1211830402	4096
4	1211830402	1211834498	4096
5	1211834498	1211838594	4096
6	1211838594	1211842690	4096
7	1211842690	1211846786	4096
8	1211846786	1211850882	4096
9	1211850882	1211854978	4096
10	1211854978	1211859074	4096
11	1211859074	1211863170	4096
12	1211863170	1211867266	4096
13	1211867266	1211871362	4096
14	1211871362	1211875458	4096
15	1211875458	1211879554	4096
16	1211879554	1211883650	4096
17	1211883650	1211887746	4096
18	1211887746	1211891842	4096
19	1211891842	1211895938	4096
20	1211895938	1211900034	4096
