# seg	start	stop	duration
0	1242853586	1242857186	3600
1	1241101098	1241104698	3600
2	1238168257	1238171857	3600
3	1233519768	1233523368	3600
4	1233402432	1233406032	3600
5	1238489737	1238493337	3600
6	1243488354	1243491954	3600
7	1237303410	1237307010	3600
8	1234602654	1234606254	3600
9	1243899785	1243903385	3600
10	1243161604	1243165204	3600
11	1239023098	1239026698	3600
12	1242669249	1242672849	3600
13	1238092827	1238096427	3600
14	1235318900	1235322500	3600
15	1234766046	1234769646	3600
16	1237384399	1237387999	3600
17	1240891378	1240894978	3600
18	1244665277	1244668877	3600
19	1244956805	1244960405	3600
20	1242714703	1242718303	3600
21	1233191023	1233194623	3600
22	1240026197	1240029797	3600
23	1236710392	1236713992	3600
24	1236098952	1236102552	3600
25	1244444854	1244448454	3600
26	1242507894	1242511494	3600
27	1241255761	1241259361	3600
28	1242786729	1242790329	3600
29	1237576494	1237580094	3600
30	1233492262	1233495862	3600
31	1243788567	1243792167	3600
32	1242836156	1242839756	3600
33	1243462541	1243466141	3600
34	1238851469	1238855069	3600
35	1241001756	1241005356	3600
36	1239802384	1239805984	3600
37	1233912705	1233916305	3600
38	1242080719	1242084319	3600
39	1238774336	1238777936	3600
40	1238703079	1238706679	3600
41	1236861417	1236865017	3600
42	1238578317	1238581917	3600
43	1238146922	1238150522	3600
44	1238312596	1238316196	3600
45	1233892393	1233895993	3600
46	1236506483	1236510083	3600
47	1236501042	1236504642	3600
48	1235835834	1235839434	3600
49	1243119324	1243122924	3600
50	1235111101	1235114701	3600
51	1244115840	1244119440	3600
52	1237178374	1237181974	3600
53	1236472931	1236476531	3600
54	1235502968	1235506568	3600
55	1239383075	1239386675	3600
56	1238210489	1238214089	3600
57	1238262158	1238265758	3600
58	1234443245	1234446845	3600
59	1244590322	1244593922	3600
60	1239148174	1239151774	3600
61	1238900129	1238903729	3600
62	1238827795	1238831395	3600
63	1241946930	1241950530	3600
64	1234891701	1234895301	3600
65	1244727114	1244730714	3600
66	1245229451	1245233051	3600
67	1233435508	1233439108	3600
68	1239668903	1239672503	3600
69	1239016334	1239019934	3600
70	1242946074	1242949674	3600
71	1237523397	1237526997	3600
72	1239873889	1239877489	3600
73	1233730368	1233733968	3600
74	1236262044	1236265644	3600
75	1243890194	1243893794	3600
76	1237095809	1237099409	3600
77	1238682927	1238686527	3600
78	1233346092	1233349692	3600
79	1240638502	1240642102	3600
80	1240377615	1240381215	3600
81	1238085653	1238089253	3600
82	1238206526	1238210126	3600
83	1233584817	1233588417	3600
84	1235206377	1235209977	3600
85	1233125353	1233128953	3600
86	1237687974	1237691574	3600
87	1240890370	1240893970	3600
88	1237368764	1237372364	3600
89	1239588930	1239592530	3600
90	1239134180	1239137780	3600
91	1234956099	1234959699	3600
92	1237738218	1237741818	3600
93	1241862367	1241865967	3600
94	1236202996	1236206596	3600
95	1238138009	1238141609	3600
96	1241180082	1241183682	3600
97	1242934978	1242938578	3600
98	1239264501	1239268101	3600
99	1244345825	1244349425	3600
100	1233491913	1233495513	3600
101	1244112111	1244115711	3600
102	1234037101	1234040701	3600
103	1237486397	1237489997	3600
104	1237537279	1237540879	3600
105	1242132471	1242136071	3600
106	1233545116	1233548716	3600
107	1242387363	1242390963	3600
108	1233047959	1233051559	3600
109	1241259967	1241263567	3600
110	1244295669	1244299269	3600
111	1243853640	1243857240	3600
112	1242033665	1242037265	3600
113	1240919653	1240923253	3600
114	1242512594	1242516194	3600
115	1234080186	1234083786	3600
116	1238168773	1238172373	3600
117	1233091163	1233094763	3600
118	1237575063	1237578663	3600
119	1236573683	1236577283	3600
120	1239935203	1239938803	3600
121	1239935341	1239938941	3600
122	1236754721	1236758321	3600
123	1237691797	1237695397	3600
124	1236473712	1236477312	3600
125	1241087486	1241091086	3600
126	1238653464	1238657064	3600
127	1245240274	1245243874	3600
128	1242480083	1242483683	3600
129	1242838134	1242841734	3600
130	1242123139	1242126739	3600
131	1239119589	1239123189	3600
132	1234225740	1234229340	3600
133	1237758672	1237762272	3600
134	1233907505	1233911105	3600
135	1238053048	1238056648	3600
136	1238046170	1238049770	3600
137	1239897365	1239900965	3600
138	1243048335	1243051935	3600
139	1241413310	1241416910	3600
140	1242794701	1242798301	3600
141	1241373441	1241377041	3600
142	1241197636	1241201236	3600
143	1244911857	1244915457	3600
144	1239363527	1239367127	3600
145	1234779559	1234783159	3600
146	1238933689	1238937289	3600
147	1233084309	1233087909	3600
148	1244978820	1244982420	3600
149	1233066550	1233070150	3600
150	1233380906	1233384506	3600
151	1238413050	1238416650	3600
152	1238565524	1238569124	3600
153	1238950525	1238954125	3600
154	1238065841	1238069441	3600
155	1244722428	1244726028	3600
156	1241066383	1241069983	3600
157	1235977301	1235980901	3600
158	1234775874	1234779474	3600
159	1236002282	1236005882	3600
160	1234296755	1234300355	3600
161	1234684916	1234688516	3600
162	1244029354	1244032954	3600
163	1241229977	1241233577	3600
164	1243282685	1243286285	3600
165	1236022569	1236026169	3600
166	1238785409	1238789009	3600
167	1235337404	1235341004	3600
168	1242099744	1242103344	3600
169	1244665982	1244669582	3600
170	1233428378	1233431978	3600
171	1238303395	1238306995	3600
172	1241981153	1241984753	3600
173	1233556975	1233560575	3600
174	1238889612	1238893212	3600
175	1239036886	1239040486	3600
176	1235910017	1235913617	3600
177	1242019515	1242023115	3600
178	1237754741	1237758341	3600
179	1240230217	1240233817	3600
180	1240688473	1240692073	3600
181	1237579562	1237583162	3600
182	1234814569	1234818169	3600
183	1236222427	1236226027	3600
184	1242318211	1242321811	3600
185	1242400288	1242403888	3600
186	1244638991	1244642591	3600
187	1237668259	1237671859	3600
188	1243023310	1243026910	3600
189	1237225774	1237229374	3600
190	1237983570	1237987170	3600
191	1234924104	1234927704	3600
192	1239405679	1239409279	3600
193	1235902278	1235905878	3600
194	1234895786	1234899386	3600
195	1237232911	1237236511	3600
196	1245271451	1245275051	3600
197	1240713755	1240717355	3600
198	1233091396	1233094996	3600
199	1237550952	1237554552	3600
200	1245327672	1245331272	3600
201	1245218656	1245222256	3600
202	1234183558	1234187158	3600
203	1235387677	1235391277	3600
204	1243618842	1243622442	3600
205	1234313779	1234317379	3600
206	1242447776	1242451376	3600
207	1234145304	1234148904	3600
208	1234146356	1234149956	3600
209	1240817482	1240821082	3600
210	1244976836	1244980436	3600
211	1243176080	1243179680	3600
212	1238798535	1238802135	3600
213	1235832820	1235836420	3600
214	1235151675	1235155275	3600
215	1244588701	1244592301	3600
216	1236936268	1236939868	3600
217	1233931291	1233934891	3600
218	1234256056	1234259656	3600
219	1234413312	1234416912	3600
