# seg	start	stop	duration
0	1212665986	1212670082	4096
1	1229996162	1230000258	4096
2	1227149442	1227153538	4096
3	1215123586	1215127682	4096
4	1214693506	1214697602	4096
5	1233399938	1233404034	4096
6	1228374146	1228378242	4096
7	1222553730	1222557826	4096
8	1222852738	1222856834	4096
9	1228984450	1228988546	4096
10	1229049986	1229054082	4096
11	1239715970	1239720066	4096
12	1212522626	1212526722	4096
13	1236484226	1236488322	4096
14	1232793730	1232797826	4096
15	1219469442	1219473538	4096
16	1231863938	1231868034	4096
17	1226461314	1226465410	4096
18	1223323778	1223327874	4096
19	1213505666	1213509762	4096
20	1212838018	1212842114	4096
21	1229373570	1229377666	4096
22	1219281026	1219285122	4096
23	1238167682	1238171778	4096
24	1224167554	1224171650	4096
25	1241276546	1241280642	4096
26	1220669570	1220673666	4096
27	1237880962	1237885058	4096
28	1225236610	1225240706	4096
29	1231421570	1231425666	4096
30	1228525698	1228529794	4096
31	1240428674	1240432770	4096
32	1231986818	1231990914	4096
33	1217822850	1217826946	4096
34	1223405698	1223409794	4096
35	1237516418	1237520514	4096
36	1218240642	1218244738	4096
37	1214226562	1214230658	4096
38	1229037698	1229041794	4096
39	1241514114	1241518210	4096
40	1220251778	1220255874	4096
41	1215967362	1215971458	4096
42	1228091522	1228095618	4096
43	1234813058	1234817154	4096
44	1220939906	1220944002	4096
45	1239552130	1239556226	4096
46	1222090882	1222094978	4096
47	1240809602	1240813698	4096
48	1237598338	1237602434	4096
49	1240305794	1240309890	4096
50	1239703682	1239707778	4096
51	1219252354	1219256450	4096
52	1221398658	1221402754	4096
53	1217142914	1217147010	4096
54	1230565506	1230569602	4096
55	1241936002	1241940098	4096
56	1223917698	1223921794	4096
57	1228112002	1228116098	4096
58	1227698306	1227702402	4096
59	1230745730	1230749826	4096
60	1212178562	1212182658	4096
61	1232257154	1232261250	4096
62	1230823554	1230827650	4096
63	1234673794	1234677890	4096
64	1214165122	1214169218	4096
65	1224286338	1224290434	4096
66	1242005634	1242009730	4096
67	1219346562	1219350658	4096
68	1215475842	1215479938	4096
69	1230585986	1230590082	4096
70	1218916482	1218920578	4096
71	1216577666	1216581762	4096
72	1227968642	1227972738	4096
73	1237549186	1237553282	4096
74	1235480706	1235484802	4096
75	1216168066	1216172162	4096
76	1219616898	1219620994	4096
77	1230884994	1230889090	4096
78	1238556802	1238560898	4096
79	1221038210	1221042306	4096
80	1234227330	1234231426	4096
81	1224102018	1224106114	4096
82	1227387010	1227391106	4096
83	1242050690	1242054786	4096
84	1241940098	1241944194	4096
85	1215475842	1215479938	4096
86	1235566722	1235570818	4096
87	1220219010	1220223106	4096
88	1219764354	1219768450	4096
89	1225855106	1225859202	4096
90	1214587010	1214591106	4096
91	1216405634	1216409730	4096
92	1236414594	1236418690	4096
93	1230131330	1230135426	4096
94	1241596034	1241600130	4096
95	1224532098	1224536194	4096
96	1219903618	1219907714	4096
97	1230213250	1230217346	4096
98	1236476034	1236480130	4096
99	1238827138	1238831234	4096
100	1226993794	1226997890	4096
101	1224310914	1224315010	4096
102	1212797058	1212801154	4096
103	1238798466	1238802562	4096
104	1235456130	1235460226	4096
105	1226096770	1226100866	4096
106	1231806594	1231810690	4096
107	1223544962	1223549058	4096
108	1215692930	1215697026	4096
109	1236226178	1236230274	4096
110	1218744450	1218748546	4096
111	1213423746	1213427842	4096
112	1223815298	1223819394	4096
113	1220878466	1220882562	4096
114	1232310402	1232314498	4096
115	1225044098	1225048194	4096
116	1225973890	1225977986	4096
117	1224028290	1224032386	4096
118	1222398082	1222402178	4096
119	1224147074	1224151170	4096
120	1221640322	1221644418	4096
121	1223602306	1223606402	4096
122	1233236098	1233240194	4096
123	1214455938	1214460034	4096
124	1225027714	1225031810	4096
125	1225666690	1225670786	4096
126	1212096642	1212100738	4096
127	1230753922	1230758018	4096
128	1223745666	1223749762	4096
129	1217577090	1217581186	4096
130	1235439746	1235443842	4096
131	1237520514	1237524610	4096
132	1242407042	1242411138	4096
133	1226666114	1226670210	4096
134	1232932994	1232937090	4096
135	1231876226	1231880322	4096
136	1228820610	1228824706	4096
137	1238081666	1238085762	4096
138	1211891842	1211895938	4096
139	1237225602	1237229698	4096
140	1231405186	1231409282	4096
141	1229537410	1229541506	4096
142	1240289410	1240293506	4096
143	1239568514	1239572610	4096
144	1228488834	1228492930	4096
145	1227292802	1227296898	4096
146	1227165826	1227169922	4096
147	1224396930	1224401026	4096
148	1228304514	1228308610	4096
149	1242366082	1242370178	4096
150	1228853378	1228857474	4096
151	1219301506	1219305602	4096
152	1227497602	1227501698	4096
153	1231638658	1231642754	4096
154	1240252546	1240256642	4096
155	1233510530	1233514626	4096
156	1221951618	1221955714	4096
157	1212719234	1212723330	4096
158	1218048130	1218052226	4096
159	1241206914	1241211010	4096
160	1225015426	1225019522	4096
161	1236652162	1236656258	4096
162	1217613954	1217618050	4096
163	1242169474	1242173570	4096
164	1219530882	1219534978	4096
165	1217970306	1217974402	4096
166	1219969154	1219973250	4096
167	1233756290	1233760386	4096
168	1238466690	1238470786	4096
169	1218609282	1218613378	4096
170	1224294530	1224298626	4096
171	1240367234	1240371330	4096
172	1233727618	1233731714	4096
173	1235202178	1235206274	4096
174	1213898882	1213902978	4096
175	1213866114	1213870210	4096
176	1236562050	1236566146	4096
177	1215619202	1215623298	4096
178	1213472898	1213476994	4096
179	1231999106	1232003202	4096
180	1236598914	1236603010	4096
181	1228316802	1228320898	4096
182	1241772162	1241776258	4096
