# seg	start	stop	duration
0	1212080258	1212084354	4096
1	1212129410	1212133506	4096
2	1212473474	1212477570	4096
3	1212719234	1212723330	4096
4	1213001858	1213005954	4096
5	1213071490	1213075586	4096
6	1213153410	1213157506	4096
7	1213300866	1213304962	4096
8	1213329538	1213333634	4096
9	1213399170	1213403266	4096
10	1213493378	1213497474	4096
11	1213571202	1213575298	4096
12	1213575298	1213579394	4096
13	1213681794	1213685890	4096
14	1213956226	1213960322	4096
15	1214038146	1214042242	4096
16	1214103682	1214107778	4096
17	1214185602	1214189698	4096
18	1214554242	1214558338	4096
19	1214959746	1214963842	4096
20	1216020610	1216024706	4096
21	1216561282	1216565378	4096
22	1217032322	1217036418	4096
23	1217110146	1217114242	4096
24	1217245314	1217249410	4096
25	1217253506	1217257602	4096
26	1217290370	1217294466	4096
27	1217564802	1217568898	4096
28	1217773698	1217777794	4096
29	1218154626	1218158722	4096
30	1218338946	1218343042	4096
31	1218588802	1218592898	4096
32	1218773122	1218777218	4096
33	1218945154	1218949250	4096
34	1219022978	1219027074	4096
35	1219141762	1219145858	4096
36	1219395714	1219399810	4096
37	1219620994	1219625090	4096
38	1219924098	1219928194	4096
39	1219989634	1219993730	4096
40	1220137090	1220141186	4096
41	1220169858	1220173954	4096
42	1220182146	1220186242	4096
43	1220251778	1220255874	4096
44	1220333698	1220337794	4096
45	1220337794	1220341890	4096
46	1220341890	1220345986	4096
47	1220345986	1220350082	4096
48	1220350082	1220354178	4096
49	1220354178	1220358274	4096
50	1220358274	1220362370	4096
51	1220362370	1220366466	4096
52	1220366466	1220370562	4096
53	1220370562	1220374658	4096
54	1220374658	1220378754	4096
55	1220378754	1220382850	4096
56	1220382850	1220386946	4096
57	1220386946	1220391042	4096
58	1220391042	1220395138	4096
59	1220395138	1220399234	4096
60	1220399234	1220403330	4096
61	1220403330	1220407426	4096
62	1220407426	1220411522	4096
63	1220411522	1220415618	4096
64	1220415618	1220419714	4096
65	1220419714	1220423810	4096
66	1220423810	1220427906	4096
67	1220427906	1220432002	4096
68	1220432002	1220436098	4096
69	1220436098	1220440194	4096
70	1220440194	1220444290	4096
71	1220444290	1220448386	4096
72	1220448386	1220452482	4096
73	1220452482	1220456578	4096
74	1220456578	1220460674	4096
75	1220460674	1220464770	4096
76	1220464770	1220468866	4096
77	1220468866	1220472962	4096
78	1220472962	1220477058	4096
79	1220477058	1220481154	4096
80	1220481154	1220485250	4096
81	1220485250	1220489346	4096
82	1220489346	1220493442	4096
83	1220493442	1220497538	4096
84	1220497538	1220501634	4096
85	1220501634	1220505730	4096
86	1220505730	1220509826	4096
87	1220509826	1220513922	4096
88	1220513922	1220518018	4096
89	1220518018	1220522114	4096
90	1220522114	1220526210	4096
91	1220526210	1220530306	4096
92	1220530306	1220534402	4096
93	1220534402	1220538498	4096
94	1220538498	1220542594	4096
95	1220542594	1220546690	4096
96	1220546690	1220550786	4096
97	1220550786	1220554882	4096
