# seg	start	stop	duration
0	1213231234	1213235330	4096
1	1213304962	1213309058	4096
2	1213309058	1213313154	4096
3	1213771906	1213776002	4096
4	1213776002	1213780098	4096
5	1213780098	1213784194	4096
6	1213784194	1213788290	4096
7	1213788290	1213792386	4096
8	1213792386	1213796482	4096
9	1213796482	1213800578	4096
10	1213800578	1213804674	4096
11	1213804674	1213808770	4096
12	1213808770	1213812866	4096
13	1213812866	1213816962	4096
14	1213816962	1213821058	4096
15	1213821058	1213825154	4096
16	1213825154	1213829250	4096
17	1213829250	1213833346	4096
18	1213833346	1213837442	4096
19	1213837442	1213841538	4096
20	1213841538	1213845634	4096
21	1213845634	1213849730	4096
22	1213849730	1213853826	4096
23	1214161026	1214165122	4096
24	1216798850	1216802946	4096
25	1216802946	1216807042	4096
26	1216807042	1216811138	4096
27	1216811138	1216815234	4096
28	1216815234	1216819330	4096
29	1216819330	1216823426	4096
30	1216823426	1216827522	4096
31	1216827522	1216831618	4096
32	1216831618	1216835714	4096
33	1216835714	1216839810	4096
34	1216839810	1216843906	4096
35	1216843906	1216848002	4096
36	1216848002	1216852098	4096
37	1216852098	1216856194	4096
38	1216856194	1216860290	4096
39	1220571266	1220575362	4096
40	1220575362	1220579458	4096
41	1220579458	1220583554	4096
42	1220583554	1220587650	4096
43	1220587650	1220591746	4096
44	1220591746	1220595842	4096
45	1220595842	1220599938	4096
46	1220599938	1220604034	4096
47	1220604034	1220608130	4096
48	1220608130	1220612226	4096
49	1220612226	1220616322	4096
50	1220616322	1220620418	4096
51	1220620418	1220624514	4096
52	1220624514	1220628610	4096
53	1220628610	1220632706	4096
54	1220632706	1220636802	4096
55	1220636802	1220640898	4096
56	1220640898	1220644994	4096
57	1220644994	1220649090	4096
58	1220649090	1220653186	4096
59	1220653186	1220657282	4096
60	1221730434	1221734530	4096
61	1221734530	1221738626	4096
62	1221738626	1221742722	4096
63	1221742722	1221746818	4096
64	1221746818	1221750914	4096
65	1221750914	1221755010	4096
66	1221755010	1221759106	4096
67	1221759106	1221763202	4096
68	1221763202	1221767298	4096
69	1221767298	1221771394	4096
70	1221771394	1221775490	4096
71	1221775490	1221779586	4096
72	1221779586	1221783682	4096
73	1221783682	1221787778	4096
74	1221787778	1221791874	4096
75	1221791874	1221795970	4096
76	1221795970	1221800066	4096
77	1221800066	1221804162	4096
78	1221804162	1221808258	4096
79	1221808258	1221812354	4096
80	1221812354	1221816450	4096
81	1221816450	1221820546	4096
82	1221820546	1221824642	4096
83	1221824642	1221828738	4096
84	1221828738	1221832834	4096
85	1221832834	1221836930	4096
86	1221836930	1221841026	4096
87	1221841026	1221845122	4096
88	1221845122	1221849218	4096
89	1221849218	1221853314	4096
90	1221853314	1221857410	4096
91	1221857410	1221861506	4096
92	1227141250	1227145346	4096
93	1227145346	1227149442	4096
94	1227149442	1227153538	4096
95	1227153538	1227157634	4096
96	1227157634	1227161730	4096
97	1227161730	1227165826	4096
98	1227165826	1227169922	4096
99	1227169922	1227174018	4096
100	1227174018	1227178114	4096
101	1227178114	1227182210	4096
102	1227182210	1227186306	4096
103	1227186306	1227190402	4096
104	1227190402	1227194498	4096
105	1227194498	1227198594	4096
106	1227198594	1227202690	4096
107	1227202690	1227206786	4096
108	1227206786	1227210882	4096
109	1227210882	1227214978	4096
110	1227214978	1227219074	4096
111	1227219074	1227223170	4096
112	1227223170	1227227266	4096
113	1227227266	1227231362	4096
114	1227231362	1227235458	4096
115	1227235458	1227239554	4096
116	1227239554	1227243650	4096
117	1227243650	1227247746	4096
118	1227247746	1227251842	4096
119	1227251842	1227255938	4096
120	1227255938	1227260034	4096
121	1227260034	1227264130	4096
122	1227264130	1227268226	4096
123	1227268226	1227272322	4096
124	1227272322	1227276418	4096
125	1227276418	1227280514	4096
126	1227280514	1227284610	4096
127	1227284610	1227288706	4096
128	1227288706	1227292802	4096
129	1227292802	1227296898	4096
130	1227296898	1227300994	4096
131	1227300994	1227305090	4096
132	1227305090	1227309186	4096
133	1227309186	1227313282	4096
134	1227313282	1227317378	4096
135	1227317378	1227321474	4096
136	1227321474	1227325570	4096
137	1227325570	1227329666	4096
138	1227329666	1227333762	4096
139	1227333762	1227337858	4096
140	1227337858	1227341954	4096
141	1227341954	1227346050	4096
142	1227346050	1227350146	4096
143	1227350146	1227354242	4096
144	1227354242	1227358338	4096
145	1227358338	1227362434	4096
146	1227362434	1227366530	4096
147	1227366530	1227370626	4096
148	1227370626	1227374722	4096
149	1227374722	1227378818	4096
150	1227378818	1227382914	4096
151	1227382914	1227387010	4096
152	1227387010	1227391106	4096
153	1227391106	1227395202	4096
154	1227395202	1227399298	4096
155	1227399298	1227403394	4096
156	1227403394	1227407490	4096
157	1227407490	1227411586	4096
158	1227411586	1227415682	4096
159	1227415682	1227419778	4096
160	1227419778	1227423874	4096
161	1227423874	1227427970	4096
162	1227427970	1227432066	4096
163	1227432066	1227436162	4096
164	1227436162	1227440258	4096
165	1227440258	1227444354	4096
166	1227444354	1227448450	4096
167	1227448450	1227452546	4096
168	1227452546	1227456642	4096
169	1227456642	1227460738	4096
170	1227460738	1227464834	4096
171	1227464834	1227468930	4096
172	1227468930	1227473026	4096
173	1227473026	1227477122	4096
174	1227477122	1227481218	4096
175	1227481218	1227485314	4096
176	1227485314	1227489410	4096
177	1227489410	1227493506	4096
178	1227493506	1227497602	4096
179	1227497602	1227501698	4096
180	1227501698	1227505794	4096
181	1227505794	1227509890	4096
182	1227509890	1227513986	4096
183	1227513986	1227518082	4096
184	1227518082	1227522178	4096
185	1227522178	1227526274	4096
186	1227526274	1227530370	4096
187	1227530370	1227534466	4096
188	1227534466	1227538562	4096
189	1227538562	1227542658	4096
190	1227542658	1227546754	4096
191	1227546754	1227550850	4096
192	1227550850	1227554946	4096
193	1227554946	1227559042	4096
194	1227559042	1227563138	4096
195	1227563138	1227567234	4096
196	1227567234	1227571330	4096
197	1232670850	1232674946	4096
198	1232674946	1232679042	4096
199	1232679042	1232683138	4096
200	1232683138	1232687234	4096
201	1232687234	1232691330	4096
202	1232691330	1232695426	4096
203	1232695426	1232699522	4096
204	1232699522	1232703618	4096
205	1235292290	1235296386	4096
206	1235296386	1235300482	4096
207	1235300482	1235304578	4096
208	1235304578	1235308674	4096
209	1238007938	1238012034	4096
210	1238012034	1238016130	4096
211	1238016130	1238020226	4096
212	1240387714	1240391810	4096
213	1240391810	1240395906	4096
214	1240395906	1240400002	4096
215	1240400002	1240404098	4096
216	1240404098	1240408194	4096
217	1240408194	1240412290	4096
218	1240412290	1240416386	4096
219	1240416386	1240420482	4096
220	1240420482	1240424578	4096
221	1240424578	1240428674	4096
222	1240428674	1240432770	4096
223	1240432770	1240436866	4096
224	1240436866	1240440962	4096
