# seg	start	stop	duration
0	1212669568	1212673664	4096
1	1229999744	1230003840	4096
2	1227153024	1227157120	4096
3	1215127168	1215131264	4096
4	1214697088	1214701184	4096
5	1233403520	1233407616	4096
6	1228377728	1228381824	4096
7	1222557312	1222561408	4096
8	1222856320	1222860416	4096
9	1228988032	1228992128	4096
10	1229053568	1229057664	4096
11	1239719552	1239723648	4096
12	1212526208	1212530304	4096
13	1236487808	1236491904	4096
14	1232797312	1232801408	4096
15	1219473024	1219477120	4096
16	1231867520	1231871616	4096
17	1226464896	1226468992	4096
18	1223327360	1223331456	4096
19	1213509248	1213513344	4096
20	1212841600	1212845696	4096
21	1229377152	1229381248	4096
22	1219284608	1219288704	4096
23	1238171264	1238175360	4096
24	1224171136	1224175232	4096
25	1241280128	1241284224	4096
26	1220673152	1220677248	4096
27	1237884544	1237888640	4096
28	1225240192	1225244288	4096
29	1231425152	1231429248	4096
30	1228529280	1228533376	4096
31	1240432256	1240436352	4096
32	1231990400	1231994496	4096
33	1217826432	1217830528	4096
34	1223409280	1223413376	4096
35	1237520000	1237524096	4096
36	1218244224	1218248320	4096
37	1214230144	1214234240	4096
38	1229041280	1229045376	4096
39	1241517696	1241521792	4096
40	1220255360	1220259456	4096
41	1215970944	1215975040	4096
42	1228095104	1228099200	4096
43	1234816640	1234820736	4096
44	1220943488	1220947584	4096
45	1239555712	1239559808	4096
46	1244647040	1244651136	4096
47	1222094464	1222098560	4096
48	1240813184	1240817280	4096
49	1237601920	1237606016	4096
50	1240309376	1240313472	4096
51	1239707264	1239711360	4096
52	1219255936	1219260032	4096
53	1221402240	1221406336	4096
54	1217146496	1217150592	4096
55	1230569088	1230573184	4096
56	1241939584	1241943680	4096
57	1223921280	1223925376	4096
58	1228115584	1228119680	4096
59	1244429952	1244434048	4096
60	1227701888	1227705984	4096
61	1230749312	1230753408	4096
62	1212182144	1212186240	4096
63	1232260736	1232264832	4096
64	1230827136	1230831232	4096
65	1234677376	1234681472	4096
66	1214168704	1214172800	4096
67	1224289920	1224294016	4096
68	1242009216	1242013312	4096
69	1219350144	1219354240	4096
70	1215479424	1215483520	4096
71	1230589568	1230593664	4096
72	1218920064	1218924160	4096
73	1216581248	1216585344	4096
74	1227972224	1227976320	4096
75	1237552768	1237556864	4096
76	1235484288	1235488384	4096
77	1216171648	1216175744	4096
78	1219620480	1219624576	4096
79	1230888576	1230892672	4096
80	1238560384	1238564480	4096
81	1221041792	1221045888	4096
82	1234230912	1234235008	4096
83	1224105600	1224109696	4096
84	1227390592	1227394688	4096
85	1242054272	1242058368	4096
86	1241943680	1241947776	4096
87	1215479424	1215483520	4096
88	1235570304	1235574400	4096
89	1220222592	1220226688	4096
90	1219767936	1219772032	4096
91	1225858688	1225862784	4096
92	1214590592	1214594688	4096
93	1216409216	1216413312	4096
94	1236418176	1236422272	4096
95	1230134912	1230139008	4096
96	1241599616	1241603712	4096
97	1224535680	1224539776	4096
98	1219907200	1219911296	4096
99	1230216832	1230220928	4096
100	1236479616	1236483712	4096
101	1238830720	1238834816	4096
102	1226997376	1227001472	4096
103	1224314496	1224318592	4096
104	1212800640	1212804736	4096
105	1238802048	1238806144	4096
106	1235459712	1235463808	4096
107	1244147328	1244151424	4096
108	1226100352	1226104448	4096
109	1231810176	1231814272	4096
110	1223548544	1223552640	4096
111	1215696512	1215700608	4096
112	1236229760	1236233856	4096
113	1243979392	1243983488	4096
114	1218748032	1218752128	4096
115	1213427328	1213431424	4096
116	1223818880	1223822976	4096
117	1220882048	1220886144	4096
118	1232313984	1232318080	4096
119	1225047680	1225051776	4096
120	1225977472	1225981568	4096
121	1224031872	1224035968	4096
122	1222401664	1222405760	4096
123	1224150656	1224154752	4096
124	1221643904	1221648000	4096
125	1223605888	1223609984	4096
126	1233239680	1233243776	4096
127	1214459520	1214463616	4096
128	1225031296	1225035392	4096
129	1225670272	1225674368	4096
130	1212100224	1212104320	4096
131	1230757504	1230761600	4096
132	1223749248	1223753344	4096
133	1217580672	1217584768	4096
134	1235443328	1235447424	4096
135	1237524096	1237528192	4096
136	1242410624	1242414720	4096
137	1226669696	1226673792	4096
138	1232936576	1232940672	4096
139	1231879808	1231883904	4096
140	1228824192	1228828288	4096
141	1238085248	1238089344	4096
142	1211895424	1211899520	4096
143	1237229184	1237233280	4096
144	1231408768	1231412864	4096
145	1229540992	1229545088	4096
146	1240292992	1240297088	4096
147	1239572096	1239576192	4096
148	1228492416	1228496512	4096
149	1227296384	1227300480	4096
150	1227169408	1227173504	4096
151	1224400512	1224404608	4096
152	1228308096	1228312192	4096
153	1242369664	1242373760	4096
154	1228856960	1228861056	4096
155	1245249152	1245253248	4096
156	1244589696	1244593792	4096
157	1219305088	1219309184	4096
158	1227501184	1227505280	4096
159	1231642240	1231646336	4096
160	1240256128	1240260224	4096
161	1233514112	1233518208	4096
162	1221955200	1221959296	4096
163	1212722816	1212726912	4096
164	1218051712	1218055808	4096
165	1241210496	1241214592	4096
166	1225019008	1225023104	4096
167	1236655744	1236659840	4096
168	1217617536	1217621632	4096
169	1244061312	1244065408	4096
170	1242173056	1242177152	4096
171	1219534464	1219538560	4096
172	1217973888	1217977984	4096
173	1219972736	1219976832	4096
174	1233759872	1233763968	4096
175	1238470272	1238474368	4096
176	1218612864	1218616960	4096
177	1224298112	1224302208	4096
178	1240370816	1240374912	4096
179	1233731200	1233735296	4096
180	1235205760	1235209856	4096
181	1213902464	1213906560	4096
182	1245326976	1245331072	4096
183	1213869696	1213873792	4096
184	1236565632	1236569728	4096
185	1215622784	1215626880	4096
186	1213476480	1213480576	4096
187	1232002688	1232006784	4096
188	1236602496	1236606592	4096
189	1228320384	1228324480	4096
190	1241775744	1241779840	4096
191	1218997888	1219001984	4096
192	1213861504	1213865600	4096
193	1215250048	1215254144	4096
194	1243270784	1243274880	4096
195	1229315712	1229319808	4096
196	1241169536	1241173632	4096
197	1243680384	1243684480	4096
198	1229135488	1229139584	4096
199	1225252480	1225256576	4096
200	1213619840	1213623936	4096
201	1227484800	1227488896	4096
202	1216810624	1216814720	4096
203	1227914880	1227918976	4096
204	1222667904	1222672000	4096
205	1218567808	1218571904	4096
206	1215385216	1215389312	4096
207	1234448000	1234452096	4096
208	1238404736	1238408832	4096
209	1226915456	1226919552	4096
210	1226436224	1226440320	4096
211	1237905024	1237909120	4096
212	1242689152	1242693248	4096
213	1238470272	1238474368	4096
214	1235664512	1235668608	4096
215	1236340352	1236344448	4096
216	1241603712	1241607808	4096
217	1229770368	1229774464	4096
218	1234161280	1234165376	4096
219	1214144128	1214148224	4096
220	1217126016	1217130112	4096
221	1242828416	1242832512	4096
222	1219608192	1219612288	4096
223	1226481280	1226485376	4096
224	1222393472	1222397568	4096
225	1242390144	1242394240	4096
226	1242209920	1242214016	4096
227	1224203904	1224208000	4096
228	1214508672	1214512768	4096
229	1226305152	1226309248	4096
230	1216487040	1216491136	4096
231	1221107328	1221111424	4096
232	1240657536	1240661632	4096
233	1219038848	1219042944	4096
234	1239383680	1239387776	4096
235	1231470208	1231474304	4096
236	1214758528	1214762624	4096
237	1244515968	1244520064	4096
238	1212563072	1212567168	4096
239	1235701376	1235705472	4096
240	1217945216	1217949312	4096
241	1213230720	1213234816	4096
242	1217138304	1217142400	4096
243	1238609536	1238613632	4096
244	1217101440	1217105536	4096
245	1218879104	1218883200	4096
246	1228635776	1228639872	4096
247	1231556224	1231560320	4096
248	1239912064	1239916160	4096
249	1223347840	1223351936	4096
250	1225211520	1225215616	4096
251	1241448064	1241452160	4096
252	1213079168	1213083264	4096
253	1236627072	1236631168	4096
254	1224715904	1224720000	4096
255	1221185152	1221189248	4096
256	1218403968	1218408064	4096
257	1221308032	1221312128	4096
258	1245130368	1245134464	4096
259	1226124928	1226129024	4096
260	1229344384	1229348480	4096
261	1228148352	1228152448	4096
262	1244495488	1244499584	4096
263	1219124864	1219128960	4096
264	1218248320	1218252416	4096
265	1227030144	1227034240	4096
266	1222516352	1222520448	4096
267	1235050112	1235054208	4096
268	1244290688	1244294784	4096
269	1231289984	1231294080	4096
270	1231195776	1231199872	4096
271	1231408768	1231412864	4096
272	1217035904	1217040000	4096
273	1240706688	1240710784	4096
274	1226722944	1226727040	4096
275	1245322880	1245326976	4096
276	1241988736	1241992832	4096
277	1233129088	1233133184	4096
278	1244585600	1244589696	4096
279	1219714688	1219718784	4096
280	1234787968	1234792064	4096
281	1228271232	1228275328	4096
282	1241120384	1241124480	4096
283	1233829504	1233833600	4096
284	1233157760	1233161856	4096
285	1230331520	1230335616	4096
286	1239699072	1239703168	4096
287	1225428608	1225432704	4096
288	1221951104	1221955200	4096
289	1217220224	1217224320	4096
290	1225969280	1225973376	4096
291	1229356672	1229360768	4096
292	1233325696	1233329792	4096
293	1229287040	1229291136	4096
294	1240305280	1240309376	4096
295	1211940480	1211944576	4096
296	1220714112	1220718208	4096
297	1228168832	1228172928	4096
298	1214828160	1214832256	4096
299	1231351424	1231355520	4096
300	1224388224	1224392320	4096
301	1229508224	1229512320	4096
302	1218031232	1218035328	4096
303	1216577152	1216581248	4096
304	1215831680	1215835776	4096
305	1225969280	1225973376	4096
306	1219919488	1219923584	4096
307	1236180608	1236184704	4096
308	1218866816	1218870912	4096
309	1233747584	1233751680	4096
310	1232211584	1232215680	4096
311	1238322816	1238326912	4096
312	1236291200	1236295296	4096
313	1219321472	1219325568	4096
