date,total,laser,fringe 
2017/01,56.17,64.44,56.32
2017/02,72.90,99.64,73.02
2017/03,63.85,99.38,63.87
2017/04,21.43,99.79,21.44
2017/05,44.23,99.64,44.25
2017/06,63.87,90.48,65.77
2017/07,38.62,95.58,38.99
2017/08,14.51,99.98,14.53
2017/09,30.75,98.84,30.84
2017/10,29.72,86.54,30.13
2017/11,57.82,80.47,58.46
2017/12,48.32,90.55,49.20
2018/01,76.81,99.87,76.85
2018/02,97.93,99.98,97.93
2018/03,20.00,99.53,20.00
2018/04,80.59,99.80,80.59
2018/05,82.23,99.87,82.23
2018/06,76.78,99.37,76.79
2018/07,85.63,99.76,85.64
2018/08,94.28,98.94,95.11
2018/09,94.38,94.58,95.59
2018/10,99.98,99.98,100.00
2018/11,96.71,99.99,96.72
2018/12,99.91,99.91,99.94
2019/01,95.16,97.71,95.30
2019/02,89.76,99.97,89.79
2019/03,99.38,99.38,99.43
2019/04,99.85,99.85,99.92
2019/05,99.88,99.88,99.93
2019/06,99.95,99.95,100.00
2019/07,99.97,99.97,100.00
2019/08,99.88,99.88,99.95
2019/09,99.31,99.31,99.69
2019/10,99.94,99.94,99.96
2019/11,97.37,99.37,99.96
2019/12,99.85,99.85,100.00
2020/01,99.74,99.74,100.00
2020/02,99.74,99.74,100.00
2020/03,99.55,99.55,99.96
2020/04,96.70,99.94,96.76
