# seg	start	stop	duration
0	1211817600	1211821696	4096
1	1211821696	1211825792	4096
2	1211825792	1211829888	4096
3	1211829888	1211833984	4096
4	1211833984	1211838080	4096
5	1211838080	1211842176	4096
6	1211842176	1211846272	4096
7	1211846272	1211850368	4096
8	1211850368	1211854464	4096
9	1211854464	1211858560	4096
10	1211858560	1211862656	4096
11	1211862656	1211866752	4096
12	1211866752	1211870848	4096
13	1211870848	1211874944	4096
14	1211874944	1211879040	4096
15	1211879040	1211883136	4096
16	1211883136	1211887232	4096
17	1211887232	1211891328	4096
18	1211891328	1211895424	4096
19	1211895424	1211899520	4096
20	1211899520	1211903616	4096
21	1211903616	1211907712	4096
22	1211907712	1211911808	4096
23	1211911808	1211915904	4096
24	1211915904	1211920000	4096
25	1211920000	1211924096	4096
26	1211924096	1211928192	4096
27	1211928192	1211932288	4096
28	1211932288	1211936384	4096
29	1211936384	1211940480	4096
30	1211940480	1211944576	4096
31	1211944576	1211948672	4096
32	1211948672	1211952768	4096
33	1211952768	1211956864	4096
34	1211956864	1211960960	4096
35	1211960960	1211965056	4096
36	1211965056	1211969152	4096
37	1211969152	1211973248	4096
38	1211973248	1211977344	4096
39	1211977344	1211981440	4096
40	1211981440	1211985536	4096
41	1211985536	1211989632	4096
42	1211989632	1211993728	4096
43	1211993728	1211997824	4096
44	1211997824	1212001920	4096
45	1212001920	1212006016	4096
46	1212006016	1212010112	4096
47	1212010112	1212014208	4096
48	1212014208	1212018304	4096
49	1212018304	1212022400	4096
50	1212022400	1212026496	4096
51	1212026496	1212030592	4096
52	1212030592	1212034688	4096
53	1212034688	1212038784	4096
54	1212038784	1212042880	4096
55	1212042880	1212046976	4096
56	1212046976	1212051072	4096
57	1212051072	1212055168	4096
58	1212055168	1212059264	4096
59	1212059264	1212063360	4096
60	1212063360	1212067456	4096
61	1212067456	1212071552	4096
62	1212071552	1212075648	4096
63	1212075648	1212079744	4096
64	1212079744	1212083840	4096
65	1212083840	1212087936	4096
66	1212087936	1212092032	4096
67	1212092032	1212096128	4096
68	1212096128	1212100224	4096
69	1212100224	1212104320	4096
70	1212104320	1212108416	4096
71	1212108416	1212112512	4096
72	1212112512	1212116608	4096
73	1212116608	1212120704	4096
74	1212120704	1212124800	4096
75	1212124800	1212128896	4096
76	1212128896	1212132992	4096
77	1212132992	1212137088	4096
78	1212137088	1212141184	4096
79	1212141184	1212145280	4096
80	1212145280	1212149376	4096
81	1212149376	1212153472	4096
82	1212153472	1212157568	4096
83	1212157568	1212161664	4096
84	1212161664	1212165760	4096
85	1212165760	1212169856	4096
86	1212169856	1212173952	4096
87	1212173952	1212178048	4096
88	1212178048	1212182144	4096
89	1212182144	1212186240	4096
90	1212186240	1212190336	4096
91	1212190336	1212194432	4096
92	1212194432	1212198528	4096
93	1212198528	1212202624	4096
94	1212202624	1212206720	4096
95	1212206720	1212210816	4096
96	1212210816	1212214912	4096
97	1212214912	1212219008	4096
98	1212219008	1212223104	4096
99	1212223104	1212227200	4096
100	1212227200	1212231296	4096
101	1212231296	1212235392	4096
102	1212235392	1212239488	4096
103	1212239488	1212243584	4096
104	1212243584	1212247680	4096
105	1212247680	1212251776	4096
106	1212251776	1212255872	4096
107	1212255872	1212259968	4096
108	1212259968	1212264064	4096
109	1212264064	1212268160	4096
110	1212268160	1212272256	4096
111	1212272256	1212276352	4096
112	1212276352	1212280448	4096
113	1212280448	1212284544	4096
114	1212284544	1212288640	4096
115	1212288640	1212292736	4096
116	1212292736	1212296832	4096
117	1212296832	1212300928	4096
118	1212300928	1212305024	4096
119	1212305024	1212309120	4096
120	1212309120	1212313216	4096
121	1212313216	1212317312	4096
122	1212317312	1212321408	4096
123	1212321408	1212325504	4096
124	1212325504	1212329600	4096
125	1212329600	1212333696	4096
126	1212333696	1212337792	4096
127	1212337792	1212341888	4096
128	1212341888	1212345984	4096
129	1212345984	1212350080	4096
130	1212350080	1212354176	4096
131	1212354176	1212358272	4096
132	1212358272	1212362368	4096
133	1212362368	1212366464	4096
134	1212366464	1212370560	4096
135	1212370560	1212374656	4096
136	1212374656	1212378752	4096
137	1212378752	1212382848	4096
138	1212382848	1212386944	4096
139	1212386944	1212391040	4096
140	1212391040	1212395136	4096
141	1212395136	1212399232	4096
142	1212399232	1212403328	4096
143	1212403328	1212407424	4096
144	1212407424	1212411520	4096
145	1212411520	1212415616	4096
146	1212415616	1212419712	4096
147	1212419712	1212423808	4096
148	1212423808	1212427904	4096
149	1212427904	1212432000	4096
150	1212432000	1212436096	4096
151	1212436096	1212440192	4096
152	1212440192	1212444288	4096
153	1212444288	1212448384	4096
154	1212448384	1212452480	4096
155	1212452480	1212456576	4096
156	1212456576	1212460672	4096
157	1212460672	1212464768	4096
158	1212464768	1212468864	4096
159	1212468864	1212472960	4096
160	1212472960	1212477056	4096
161	1212477056	1212481152	4096
162	1212481152	1212485248	4096
163	1212485248	1212489344	4096
164	1212489344	1212493440	4096
165	1212493440	1212497536	4096
166	1212497536	1212501632	4096
167	1212501632	1212505728	4096
168	1212505728	1212509824	4096
169	1212509824	1212513920	4096
170	1212513920	1212518016	4096
171	1212518016	1212522112	4096
172	1212522112	1212526208	4096
173	1212526208	1212530304	4096
174	1212530304	1212534400	4096
175	1212534400	1212538496	4096
176	1212538496	1212542592	4096
177	1212542592	1212546688	4096
178	1212546688	1212550784	4096
179	1212550784	1212554880	4096
180	1212554880	1212558976	4096
181	1212558976	1212563072	4096
182	1212563072	1212567168	4096
183	1212567168	1212571264	4096
184	1212571264	1212575360	4096
185	1212575360	1212579456	4096
186	1212579456	1212583552	4096
187	1212583552	1212587648	4096
188	1212587648	1212591744	4096
189	1212591744	1212595840	4096
190	1212595840	1212599936	4096
191	1212599936	1212604032	4096
192	1212604032	1212608128	4096
193	1212608128	1212612224	4096
194	1212612224	1212616320	4096
195	1212616320	1212620416	4096
196	1212620416	1212624512	4096
197	1212624512	1212628608	4096
198	1212628608	1212632704	4096
199	1212632704	1212636800	4096
200	1212636800	1212640896	4096
201	1212640896	1212644992	4096
202	1212644992	1212649088	4096
203	1212649088	1212653184	4096
204	1212653184	1212657280	4096
205	1212657280	1212661376	4096
206	1212661376	1212665472	4096
207	1212665472	1212669568	4096
208	1212669568	1212673664	4096
209	1212673664	1212677760	4096
210	1212677760	1212681856	4096
211	1212681856	1212685952	4096
212	1212685952	1212690048	4096
213	1212690048	1212694144	4096
214	1212694144	1212698240	4096
215	1212698240	1212702336	4096
216	1212702336	1212706432	4096
217	1212706432	1212710528	4096
218	1212710528	1212714624	4096
219	1212714624	1212718720	4096
220	1212718720	1212722816	4096
221	1212722816	1212726912	4096
222	1212726912	1212731008	4096
223	1212731008	1212735104	4096
224	1212735104	1212739200	4096
225	1212739200	1212743296	4096
226	1212743296	1212747392	4096
227	1212747392	1212751488	4096
228	1212751488	1212755584	4096
229	1212755584	1212759680	4096
