# seg	start	stop	duration
0	1212079744	1212083840	4096
1	1212128896	1212132992	4096
2	1212477056	1212481152	4096
3	1212714624	1212718720	4096
4	1212718720	1212722816	4096
5	1213001344	1213005440	4096
6	1213058688	1213062784	4096
7	1213070976	1213075072	4096
8	1213152896	1213156992	4096
9	1213300352	1213304448	4096
10	1213304448	1213308544	4096
11	1213308544	1213312640	4096
12	1213329024	1213333120	4096
13	1213398656	1213402752	4096
14	1213492864	1213496960	4096
15	1213570688	1213574784	4096
16	1213574784	1213578880	4096
17	1213681280	1213685376	4096
18	1213775488	1213779584	4096
19	1213779584	1213783680	4096
20	1213783680	1213787776	4096
21	1213787776	1213791872	4096
22	1213791872	1213795968	4096
23	1213795968	1213800064	4096
24	1213800064	1213804160	4096
25	1213804160	1213808256	4096
26	1213808256	1213812352	4096
27	1213812352	1213816448	4096
28	1213816448	1213820544	4096
29	1213820544	1213824640	4096
30	1213824640	1213828736	4096
31	1213828736	1213832832	4096
32	1213832832	1213836928	4096
33	1213836928	1213841024	4096
34	1213841024	1213845120	4096
35	1213845120	1213849216	4096
36	1213849216	1213853312	4096
37	1213955712	1213959808	4096
38	1214037632	1214041728	4096
39	1214103168	1214107264	4096
40	1214185088	1214189184	4096
41	1214451328	1214455424	4096
42	1214553728	1214557824	4096
43	1214873216	1214877312	4096
44	1216020096	1216024192	4096
45	1216085632	1216089728	4096
46	1216503424	1216507520	4096
47	1216798336	1216802432	4096
48	1217031808	1217035904	4096
49	1217109632	1217113728	4096
50	1217248896	1217252992	4096
51	1217252992	1217257088	4096
52	1217289856	1217293952	4096
53	1217564288	1217568384	4096
54	1217773184	1217777280	4096
55	1218121344	1218125440	4096
56	1218154112	1218158208	4096
57	1218338432	1218342528	4096
58	1218588288	1218592384	4096
59	1218776704	1218780800	4096
60	1218944640	1218948736	4096
61	1219026560	1219030656	4096
62	1219141248	1219145344	4096
63	1219395200	1219399296	4096
64	1219620480	1219624576	4096
65	1219923584	1219927680	4096
66	1219989120	1219993216	4096
67	1220136576	1220140672	4096
68	1220169344	1220173440	4096
69	1220181632	1220185728	4096
70	1220251264	1220255360	4096
71	1220333184	1220337280	4096
72	1220337280	1220341376	4096
73	1220341376	1220345472	4096
74	1220345472	1220349568	4096
75	1220349568	1220353664	4096
76	1220353664	1220357760	4096
77	1220357760	1220361856	4096
78	1220361856	1220365952	4096
79	1220365952	1220370048	4096
80	1220370048	1220374144	4096
81	1220374144	1220378240	4096
82	1220378240	1220382336	4096
