# seg	start	stop	duration
0	1213230720	1213234816	4096
1	1213771392	1213775488	4096
2	1214160512	1214164608	4096
3	1216802432	1216806528	4096
4	1232703104	1232707200	4096
5	1232707200	1232711296	4096
6	1232711296	1232715392	4096
7	1232715392	1232719488	4096
8	1232719488	1232723584	4096
9	1232723584	1232727680	4096
10	1232727680	1232731776	4096
11	1232731776	1232735872	4096
12	1232735872	1232739968	4096
13	1232739968	1232744064	4096
14	1232744064	1232748160	4096
15	1232748160	1232752256	4096
16	1232752256	1232756352	4096
17	1235304064	1235308160	4096
18	1238007424	1238011520	4096
